timestamp,cpu_perc,mem_usage,net_io,block_io,pids
2025-12-09T12:33:30+0100,5.69%,57.96MiB / 27.26GiB,2.16MB / 108kB,0B / 0B,23
2025-12-09T12:33:33+0100,231.14%,180.5MiB / 27.26GiB,9.99MB / 293kB,0B / 66.2MB,61
2025-12-09T12:33:35+0100,15.24%,192.5MiB / 27.26GiB,10.1MB / 311kB,0B / 66.2MB,56
2025-12-09T12:33:38+0100,16.23%,208MiB / 27.26GiB,10.2MB / 330kB,0B / 174MB,56
2025-12-09T12:33:40+0100,37.97%,232MiB / 27.26GiB,16.5MB / 576kB,0B / 174MB,61
2025-12-09T12:33:43+0100,34.60%,257.6MiB / 27.26GiB,20.2MB / 715kB,0B / 174MB,56
2025-12-09T12:33:45+0100,41.11%,268.7MiB / 27.26GiB,20.5MB / 764kB,0B / 174MB,56
2025-12-09T12:33:48+0100,31.28%,270.6MiB / 27.26GiB,39.3MB / 1.33MB,0B / 174MB,59
2025-12-09T12:33:51+0100,17.52%,271MiB / 27.26GiB,64.6MB / 2.02MB,0B / 174MB,54
2025-12-09T12:33:53+0100,8.32%,275.3MiB / 27.26GiB,64.7MB / 2.04MB,0B / 174MB,54
2025-12-09T12:33:56+0100,7.59%,276.4MiB / 27.26GiB,64.7MB / 2.06MB,0B / 174MB,54
2025-12-09T12:33:58+0100,5.51%,276.9MiB / 27.26GiB,64.8MB / 2.08MB,0B / 174MB,54
2025-12-09T12:34:02+0100,6.50%,278.8MiB / 27.26GiB,64.9MB / 2.11MB,0B / 174MB,53
2025-12-09T12:34:04+0100,4.62%,279.2MiB / 27.26GiB,65MB / 2.12MB,0B / 288MB,54
2025-12-09T12:34:07+0100,4.49%,279.6MiB / 27.26GiB,65.1MB / 2.14MB,0B / 288MB,53
2025-12-09T12:34:09+0100,6.37%,279.8MiB / 27.26GiB,65.1MB / 2.16MB,0B / 290MB,53
2025-12-09T12:34:12+0100,5.19%,280.3MiB / 27.26GiB,65.2MB / 2.18MB,0B / 290MB,53
2025-12-09T12:34:14+0100,7.06%,281.5MiB / 27.26GiB,65.3MB / 2.2MB,0B / 290MB,53
2025-12-09T12:34:17+0100,15.35%,282.7MiB / 27.26GiB,67.9MB / 2.31MB,0B / 290MB,58
2025-12-09T12:34:20+0100,235.47%,194.7MiB / 27.26GiB,72.4MB / 2.44MB,0B / 290MB,58
