timestamp,cpu_perc,mem_usage,net_io,block_io,pids
2025-12-08T15:53:30+0100,243.77%,185.2MiB / 27.26GiB,9.98MB / 297kB,0B / 0B,59
2025-12-08T15:53:33+0100,26.07%,204.6MiB / 27.26GiB,10MB / 310kB,0B / 131MB,57
2025-12-08T15:53:35+0100,18.03%,217.5MiB / 27.26GiB,10.2MB / 329kB,0B / 131MB,57
2025-12-08T15:53:38+0100,17.57%,239.9MiB / 27.26GiB,10.2MB / 347kB,0B / 131MB,62
2025-12-08T15:53:40+0100,28.58%,243.5MiB / 27.26GiB,15.4MB / 486kB,0B / 228MB,61
2025-12-08T15:53:43+0100,33.21%,261.9MiB / 27.26GiB,20.1MB / 617kB,0B / 228MB,57
2025-12-08T15:53:45+0100,45.42%,286.5MiB / 27.26GiB,20.3MB / 657kB,0B / 228MB,57
2025-12-08T15:53:48+0100,23.56%,291.2MiB / 27.26GiB,24.1MB / 791kB,0B / 228MB,62
2025-12-08T15:53:51+0100,15.40%,292.7MiB / 27.26GiB,46.5MB / 1.43MB,0B / 228MB,59
2025-12-08T15:53:53+0100,14.43%,292.7MiB / 27.26GiB,64.6MB / 1.91MB,0B / 228MB,54
2025-12-08T15:53:56+0100,9.98%,288.9MiB / 27.26GiB,64.6MB / 1.93MB,0B / 228MB,57
2025-12-08T15:53:58+0100,9.81%,291.2MiB / 27.26GiB,64.7MB / 1.95MB,0B / 228MB,56
2025-12-08T15:54:02+0100,23.01%,292.8MiB / 27.26GiB,64.8MB / 1.97MB,0B / 228MB,57
2025-12-08T15:54:04+0100,4.27%,293.6MiB / 27.26GiB,64.9MB / 1.99MB,0B / 287MB,54
2025-12-08T15:54:07+0100,5.69%,294.5MiB / 27.26GiB,64.9MB / 2.01MB,0B / 287MB,56
2025-12-08T15:54:09+0100,5.94%,294.4MiB / 27.26GiB,65MB / 2.02MB,0B / 289MB,54
2025-12-08T15:54:12+0100,2.92%,295.1MiB / 27.26GiB,65.1MB / 2.04MB,0B / 289MB,54
2025-12-08T15:54:14+0100,28.15%,296.3MiB / 27.26GiB,65.1MB / 2.06MB,0B / 289MB,55
2025-12-08T15:54:17+0100,4.28%,296.5MiB / 27.26GiB,65.2MB / 2.08MB,0B / 289MB,55
2025-12-08T15:54:20+0100,14.07%,297.1MiB / 27.26GiB,65.3MB / 2.1MB,0B / 289MB,54
2025-12-08T15:54:22+0100,27.30%,299.3MiB / 27.26GiB,70.8MB / 2.28MB,0B / 289MB,61
2025-12-08T15:54:25+0100,245.09%,210.8MiB / 27.26GiB,72.4MB / 2.32MB,0B / 299MB,57
2025-12-08T15:54:27+0100,16.86%,231.6MiB / 27.26GiB,72.8MB / 2.36MB,0B / 299MB,57
2025-12-08T15:54:30+0100,14.53%,248.4MiB / 27.26GiB,73.3MB / 2.39MB,0B / 299MB,57
2025-12-08T15:54:33+0100,21.47%,263MiB / 27.26GiB,73.7MB / 2.42MB,0B / 299MB,57
2025-12-08T15:54:35+0100,114.84%,294MiB / 27.26GiB,74.3MB / 2.45MB,0B / 299MB,57
2025-12-08T15:54:38+0100,9.17%,295.4MiB / 27.26GiB,76.2MB / 2.51MB,0B / 299MB,56
2025-12-08T15:54:40+0100,10.55%,299.4MiB / 27.26GiB,78.5MB / 2.62MB,0B / 307MB,57
2025-12-08T15:54:43+0100,8.07%,301.4MiB / 27.26GiB,78.8MB / 2.65MB,0B / 307MB,57
