timestamp,cpu_perc,mem_usage,net_io,block_io,pids
2025-12-09T12:39:58+0100,0.02%,53.84MiB / 27.26GiB,9.52kB / 7.21kB,0B / 0B,22
2025-12-09T12:40:01+0100,163.71%,161MiB / 27.26GiB,9.98MB / 304kB,0B / 131MB,50
2025-12-09T12:40:03+0100,24.45%,185.3MiB / 27.26GiB,10MB / 317kB,0B / 131MB,59
2025-12-09T12:40:06+0100,19.45%,198.8MiB / 27.26GiB,10.2MB / 339kB,0B / 229MB,58
2025-12-09T12:40:08+0100,28.20%,225.5MiB / 27.26GiB,10.3MB / 368kB,0B / 229MB,60
2025-12-09T12:40:11+0100,52.44%,247MiB / 27.26GiB,20.1MB / 687kB,0B / 229MB,58
2025-12-09T12:40:13+0100,46.87%,260MiB / 27.26GiB,20.4MB / 732kB,0B / 229MB,58
2025-12-09T12:40:16+0100,20.09%,264.2MiB / 27.26GiB,32.1MB / 1.04MB,0B / 229MB,61
2025-12-09T12:40:19+0100,18.12%,267.3MiB / 27.26GiB,61.2MB / 1.89MB,0B / 229MB,60
2025-12-09T12:40:21+0100,8.87%,267.8MiB / 27.26GiB,64.6MB / 1.98MB,0B / 229MB,57
2025-12-09T12:40:24+0100,7.80%,268.7MiB / 27.26GiB,64.7MB / 2MB,0B / 229MB,57
2025-12-09T12:40:26+0100,16.52%,269.8MiB / 27.26GiB,64.8MB / 2.02MB,0B / 229MB,57
2025-12-09T12:40:30+0100,4.67%,271.5MiB / 27.26GiB,64.9MB / 2.05MB,0B / 229MB,56
2025-12-09T12:40:33+0100,5.59%,272.3MiB / 27.26GiB,65MB / 2.07MB,0B / 290MB,58
2025-12-09T12:40:35+0100,4.92%,272.5MiB / 27.26GiB,65MB / 2.09MB,0B / 290MB,58
2025-12-09T12:40:38+0100,17.37%,273.1MiB / 27.26GiB,65.1MB / 2.11MB,0B / 290MB,58
2025-12-09T12:40:40+0100,3.62%,273.5MiB / 27.26GiB,65.2MB / 2.13MB,0B / 290MB,58
2025-12-09T12:40:43+0100,18.36%,275.1MiB / 27.26GiB,65.3MB / 2.16MB,0B / 290MB,65
2025-12-09T12:40:46+0100,234.71%,185.4MiB / 27.26GiB,72.4MB / 2.37MB,0B / 290MB,54
2025-12-09T12:40:48+0100,32.67%,214MiB / 27.26GiB,72.6MB / 2.39MB,0B / 290MB,61
2025-12-09T12:40:51+0100,23.60%,231.6MiB / 27.26GiB,73.1MB / 2.42MB,0B / 290MB,61
2025-12-09T12:40:53+0100,28.23%,263.2MiB / 27.26GiB,73.5MB / 2.46MB,0B / 301MB,61
2025-12-09T12:40:56+0100,132.79%,305MiB / 27.26GiB,74.2MB / 2.49MB,0B / 301MB,61
2025-12-09T12:40:58+0100,26.37%,309.5MiB / 27.26GiB,77.6MB / 2.59MB,0B / 301MB,67
2025-12-09T12:41:01+0100,60.73%,320.4MiB / 27.26GiB,78.7MB / 2.65MB,0B / 301MB,61
2025-12-09T12:41:04+0100,24.78%,322.1MiB / 27.26GiB,86.7MB / 2.88MB,0B / 301MB,65
2025-12-09T12:41:07+0100,231.87%,418.9MiB / 27.26GiB,96.2MB / 3.1MB,0B / 301MB,62
2025-12-09T12:41:09+0100,61.11%,424.8MiB / 27.26GiB,98.3MB / 3.16MB,0B / 317MB,61
2025-12-09T12:41:12+0100,269.95%,457.1MiB / 27.26GiB,99.6MB / 3.22MB,0B / 321MB,67
2025-12-09T12:41:15+0100,808.34%,699.4MiB / 27.26GiB,99.6MB / 3.22MB,0B / 321MB,68
2025-12-09T12:41:17+0100,332.21%,779.5MiB / 27.26GiB,100MB / 3.25MB,0B / 321MB,67
2025-12-09T12:41:20+0100,71.40%,814.1MiB / 27.26GiB,100MB / 3.27MB,0B / 321MB,62
2025-12-09T12:41:22+0100,566.59%,1.006GiB / 27.26GiB,101MB / 3.29MB,0B / 321MB,83
2025-12-09T12:41:25+0100,289.88%,1.108GiB / 27.26GiB,101MB / 3.29MB,0B / 321MB,81
2025-12-09T12:41:27+0100,11.99%,1.109GiB / 27.26GiB,102MB / 3.34MB,0B / 369MB,76
2025-12-09T12:41:30+0100,12.30%,1.111GiB / 27.26GiB,106MB / 3.46MB,0B / 369MB,82
2025-12-09T12:41:33+0100,561.60%,1.152GiB / 27.26GiB,116MB / 3.69MB,0B / 371MB,79
2025-12-09T12:41:35+0100,9.07%,1.166GiB / 27.26GiB,117MB / 3.73MB,0B / 371MB,76
2025-12-09T12:41:38+0100,5.48%,1.167GiB / 27.26GiB,117MB / 3.75MB,0B / 371MB,73
2025-12-09T12:41:40+0100,7.71%,1.167GiB / 27.26GiB,117MB / 3.77MB,0B / 371MB,73
2025-12-09T12:41:43+0100,4.64%,1.168GiB / 27.26GiB,117MB / 3.8MB,0B / 371MB,73
2025-12-09T12:41:46+0100,20.77%,1.17GiB / 27.26GiB,126MB / 4.03MB,0B / 371MB,78
2025-12-09T12:41:49+0100,24.13%,1.173GiB / 27.26GiB,135MB / 4.24MB,0B / 411MB,74
2025-12-09T12:41:51+0100,3.75%,1.173GiB / 27.26GiB,135MB / 4.26MB,0B / 411MB,73
2025-12-09T12:41:54+0100,13.08%,1.174GiB / 27.26GiB,137MB / 4.32MB,0B / 417MB,73
2025-12-09T12:41:56+0100,115.22%,1.185GiB / 27.26GiB,154MB / 4.76MB,0B / 417MB,76
2025-12-09T12:41:59+0100,42.14%,104.3MiB / 27.26GiB,168MB / 5.17MB,0B / 417MB,31
2025-12-09T12:42:02+0100,11.03%,106.2MiB / 27.26GiB,177MB / 5.38MB,0B / 417MB,31
2025-12-09T12:42:04+0100,16.42%,107.4MiB / 27.26GiB,184MB / 5.53MB,0B / 417MB,31
2025-12-09T12:42:07+0100,39.66%,110.9MiB / 27.26GiB,210MB / 6.11MB,0B / 417MB,31
2025-12-09T12:42:09+0100,47.23%,114.7MiB / 27.26GiB,237MB / 6.73MB,0B / 448MB,31
2025-12-09T12:42:12+0100,36.46%,119.5MiB / 27.26GiB,269MB / 7.44MB,0B / 448MB,31
2025-12-09T12:42:15+0100,43.85%,126.8MiB / 27.26GiB,297MB / 8.06MB,0B / 456MB,31
2025-12-09T12:42:17+0100,36.30%,132.1MiB / 27.26GiB,320MB / 8.56MB,0B / 456MB,31
2025-12-09T12:42:20+0100,28.08%,135.4MiB / 27.26GiB,337MB / 8.94MB,0B / 456MB,31
2025-12-09T12:42:22+0100,44.19%,140.7MiB / 27.26GiB,365MB / 9.56MB,0B / 456MB,31
2025-12-09T12:42:25+0100,39.28%,151.4MiB / 27.26GiB,389MB / 10.1MB,0B / 456MB,31
2025-12-09T12:42:27+0100,40.10%,163.6MiB / 27.26GiB,422MB / 10.8MB,0B / 456MB,31
2025-12-09T12:42:30+0100,199.44%,175.8MiB / 27.26GiB,446MB / 11.4MB,0B / 710MB,37
2025-12-09T12:42:33+0100,555.41%,195.1MiB / 27.26GiB,446MB / 11.4MB,0B / 710MB,37
2025-12-09T12:42:35+0100,159.51%,197.1MiB / 27.26GiB,449MB / 11.4MB,0B / 738MB,49
2025-12-09T12:42:38+0100,23.54%,201MiB / 27.26GiB,479MB / 12.1MB,0B / 738MB,44
2025-12-09T12:42:40+0100,19.22%,203.9MiB / 27.26GiB,509MB / 12.8MB,0B / 738MB,44
2025-12-09T12:42:43+0100,20.77%,207.7MiB / 27.26GiB,543MB / 13.6MB,0B / 738MB,44
2025-12-09T12:42:46+0100,19.20%,213.5MiB / 27.26GiB,572MB / 14.3MB,0B / 738MB,48
2025-12-09T12:42:49+0100,167.82%,241.5MiB / 27.26GiB,588MB / 14.6MB,0B / 738MB,58
2025-12-09T12:42:51+0100,308.66%,571.7MiB / 27.26GiB,588MB / 14.6MB,0B / 739MB,109
2025-12-09T12:42:54+0100,124.55%,650.3MiB / 27.26GiB,588MB / 14.6MB,0B / 739MB,108
2025-12-09T12:42:56+0100,191.80%,712.8MiB / 27.26GiB,608MB / 15.2MB,0B / 757MB,124
2025-12-09T12:42:59+0100,461.35%,866.4MiB / 27.26GiB,608MB / 15.2MB,0B / 759MB,134
2025-12-09T12:43:02+0100,162.97%,1.348GiB / 27.26GiB,608MB / 15.2MB,0B / 759MB,138
2025-12-09T12:43:04+0100,18.89%,1.346GiB / 27.26GiB,608MB / 15.2MB,0B / 759MB,133
2025-12-09T12:43:07+0100,12.29%,1.373GiB / 27.26GiB,608MB / 15.2MB,0B / 851MB,144
2025-12-09T12:43:09+0100,58.47%,1.392GiB / 27.26GiB,608MB / 15.2MB,0B / 853MB,161
2025-12-09T12:43:12+0100,31.99%,1.426GiB / 27.26GiB,609MB / 15.3MB,0B / 855MB,195
2025-12-09T12:43:15+0100,77.33%,1.446GiB / 27.26GiB,623MB / 15.9MB,0B / 860MB,224
2025-12-09T12:43:17+0100,33.68%,1.448GiB / 27.26GiB,651MB / 16.9MB,0B / 891MB,223
2025-12-09T12:43:20+0100,744.50%,1.528GiB / 27.26GiB,671MB / 17.4MB,0B / 925MB,260
2025-12-09T12:43:22+0100,165.62%,1.681GiB / 27.26GiB,671MB / 17.4MB,0B / 1.08GB,256
2025-12-09T12:43:25+0100,126.05%,1.703GiB / 27.26GiB,671MB / 17.4MB,0B / 1.08GB,253
2025-12-09T12:43:27+0100,143.55%,1.817GiB / 27.26GiB,671MB / 17.4MB,0B / 1.15GB,253
2025-12-09T12:43:30+0100,308.32%,1.836GiB / 27.26GiB,671MB / 17.4MB,0B / 1.27GB,260
2025-12-09T12:43:33+0100,307.71%,1.972GiB / 27.26GiB,671MB / 17.4MB,0B / 1.27GB,261
2025-12-09T12:43:36+0100,611.04%,2.263GiB / 27.26GiB,672MB / 17.5MB,0B / 1.27GB,502
2025-12-09T12:43:38+0100,1322.08%,3.374GiB / 27.26GiB,672MB / 17.5MB,0B / 1.27GB,886
2025-12-09T12:43:41+0100,1459.56%,4.25GiB / 27.26GiB,672MB / 17.5MB,0B / 1.27GB,1048
2025-12-09T12:43:44+0100,1466.01%,5.313GiB / 27.26GiB,672MB / 17.5MB,0B / 1.27GB,1096
2025-12-09T12:43:47+0100,1503.75%,5.841GiB / 27.26GiB,672MB / 17.5MB,0B / 1.27GB,1123
2025-12-09T12:43:49+0100,1413.09%,6.309GiB / 27.26GiB,672MB / 17.5MB,0B / 1.27GB,1159
2025-12-09T12:43:52+0100,1373.42%,6.811GiB / 27.26GiB,672MB / 17.5MB,0B / 1.43GB,1210
2025-12-09T12:43:54+0100,1317.97%,7.377GiB / 27.26GiB,672MB / 17.5MB,0B / 1.43GB,1213
2025-12-09T12:43:57+0100,1314.51%,8.159GiB / 27.26GiB,672MB / 17.5MB,0B / 1.44GB,1200
2025-12-09T12:44:00+0100,1364.25%,9.068GiB / 27.26GiB,672MB / 17.5MB,0B / 1.44GB,1242
2025-12-09T12:44:03+0100,1250.31%,9.694GiB / 27.26GiB,672MB / 17.5MB,0B / 1.44GB,1242
2025-12-09T12:44:05+0100,1405.39%,10.2GiB / 27.26GiB,672MB / 17.5MB,0B / 1.44GB,1236
