timestamp,cpu_perc,mem_usage,net_io,block_io,pids
2025-12-09T12:05:52+0100,0.04%,54.18MiB / 27.26GiB,10.3kB / 7.28kB,197MB / 0B,22
2025-12-09T12:05:55+0100,149.17%,158.7MiB / 27.26GiB,9.98MB / 260kB,199MB / 131MB,51
2025-12-09T12:05:58+0100,27.71%,190MiB / 27.26GiB,10MB / 272kB,203MB / 131MB,58
2025-12-09T12:06:01+0100,24.68%,203MiB / 27.26GiB,10.2MB / 293kB,203MB / 218MB,58
2025-12-09T12:06:03+0100,24.68%,230.6MiB / 27.26GiB,10.2MB / 320kB,203MB / 218MB,65
2025-12-09T12:06:06+0100,54.31%,250.3MiB / 27.26GiB,20.1MB / 588kB,203MB / 218MB,59
2025-12-09T12:06:08+0100,54.14%,267.3MiB / 27.26GiB,20.4MB / 634kB,203MB / 218MB,58
2025-12-09T12:06:11+0100,22.12%,271.7MiB / 27.26GiB,34.5MB / 1.01MB,203MB / 218MB,62
2025-12-09T12:06:14+0100,16.82%,272.4MiB / 27.26GiB,64MB / 1.81MB,203MB / 218MB,60
2025-12-09T12:06:16+0100,10.05%,273.2MiB / 27.26GiB,64.7MB / 1.84MB,203MB / 218MB,58
2025-12-09T12:06:19+0100,7.81%,273.6MiB / 27.26GiB,64.7MB / 1.86MB,203MB / 218MB,57
2025-12-09T12:06:21+0100,9.25%,275.8MiB / 27.26GiB,64.8MB / 1.89MB,203MB / 218MB,57
2025-12-09T12:06:24+0100,5.93%,276.4MiB / 27.26GiB,64.9MB / 1.91MB,203MB / 218MB,55
2025-12-09T12:06:27+0100,4.87%,277.5MiB / 27.26GiB,65MB / 1.93MB,203MB / 229MB,56
2025-12-09T12:06:30+0100,4.76%,277.4MiB / 27.26GiB,65.1MB / 1.95MB,203MB / 229MB,55
2025-12-09T12:06:32+0100,5.80%,278.2MiB / 27.26GiB,65.2MB / 1.97MB,203MB / 232MB,55
2025-12-09T12:06:35+0100,4.82%,278.6MiB / 27.26GiB,65.2MB / 1.99MB,203MB / 232MB,55
2025-12-09T12:06:37+0100,8.81%,279.6MiB / 27.26GiB,65.3MB / 2.01MB,203MB / 243MB,55
2025-12-09T12:06:40+0100,99.73%,111.3MiB / 27.26GiB,72.4MB / 2.23MB,203MB / 243MB,45
2025-12-09T12:06:43+0100,64.72%,207.4MiB / 27.26GiB,72.6MB / 2.25MB,203MB / 266MB,59
2025-12-09T12:06:46+0100,22.41%,225.5MiB / 27.26GiB,72.9MB / 2.28MB,203MB / 266MB,58
2025-12-09T12:06:48+0100,14.08%,242.3MiB / 27.26GiB,73.4MB / 2.31MB,203MB / 289MB,58
2025-12-09T12:06:51+0100,12.11%,266.1MiB / 27.26GiB,74MB / 2.34MB,203MB / 289MB,58
2025-12-09T12:06:53+0100,24.15%,320.1MiB / 27.26GiB,76.2MB / 2.42MB,203MB / 290MB,58
2025-12-09T12:06:56+0100,17.53%,323.2MiB / 27.26GiB,78.6MB / 2.52MB,203MB / 290MB,59
2025-12-09T12:06:59+0100,9.62%,340.4MiB / 27.26GiB,78.9MB / 2.55MB,203MB / 290MB,63
2025-12-09T12:07:01+0100,578.84%,395MiB / 27.26GiB,96.2MB / 2.96MB,203MB / 290MB,65
2025-12-09T12:07:04+0100,10.24%,403.1MiB / 27.26GiB,98.3MB / 3.04MB,203MB / 291MB,61
2025-12-09T12:07:06+0100,14.25%,462.5MiB / 27.26GiB,98.5MB / 3.07MB,203MB / 292MB,61
2025-12-09T12:07:09+0100,748.96%,677.6MiB / 27.26GiB,99.7MB / 3.11MB,212MB / 292MB,65
2025-12-09T12:07:12+0100,401.83%,701.4MiB / 27.26GiB,99.7MB / 3.11MB,213MB / 300MB,64
2025-12-09T12:07:15+0100,85.22%,775.7MiB / 27.26GiB,101MB / 3.15MB,213MB / 300MB,58
2025-12-09T12:07:17+0100,327.63%,1016MiB / 27.26GiB,101MB / 3.17MB,213MB / 301MB,78
2025-12-09T12:07:20+0100,261.64%,1.091GiB / 27.26GiB,101MB / 3.17MB,213MB / 301MB,75
2025-12-09T12:07:22+0100,4.55%,1.097GiB / 27.26GiB,102MB / 3.22MB,213MB / 303MB,71
2025-12-09T12:07:25+0100,7.37%,1.098GiB / 27.26GiB,106MB / 3.35MB,213MB / 303MB,72
2025-12-09T12:07:28+0100,412.54%,1.127GiB / 27.26GiB,116MB / 3.57MB,213MB / 308MB,93
2025-12-09T12:07:30+0100,86.51%,1.139GiB / 27.26GiB,117MB / 3.61MB,213MB / 308MB,73
2025-12-09T12:07:33+0100,6.02%,1.139GiB / 27.26GiB,117MB / 3.63MB,213MB / 327MB,70
2025-12-09T12:07:35+0100,5.90%,1.139GiB / 27.26GiB,117MB / 3.64MB,213MB / 327MB,70
