timestamp,cpu_perc,mem_usage,net_io,block_io,pids
2025-12-04T21:12:47+0100,60.23%,110.4MiB / 27.26GiB,9.98MB / 305kB,196MB / 0B,44
2025-12-04T21:12:50+0100,23.50%,208.6MiB / 27.26GiB,10MB / 314kB,200MB / 130MB,57
2025-12-04T21:12:52+0100,26.01%,221.6MiB / 27.26GiB,10.1MB / 335kB,200MB / 130MB,57
2025-12-04T21:12:55+0100,8.30%,232.1MiB / 27.26GiB,10.2MB / 353kB,200MB / 130MB,57
2025-12-04T21:12:58+0100,70.51%,272.4MiB / 27.26GiB,20MB / 708kB,200MB / 226MB,57
2025-12-04T21:13:00+0100,25.52%,287.7MiB / 27.26GiB,20.2MB / 742kB,200MB / 226MB,57
2025-12-04T21:13:03+0100,34.72%,283MiB / 27.26GiB,20.6MB / 786kB,200MB / 226MB,58
2025-12-04T21:13:06+0100,30.74%,302.3MiB / 27.26GiB,47.8MB / 1.54MB,200MB / 226MB,59
2025-12-04T21:13:08+0100,15.55%,293.1MiB / 27.26GiB,64.6MB / 2.03MB,200MB / 226MB,54
2025-12-04T21:13:11+0100,4.88%,294.1MiB / 27.26GiB,64.7MB / 2.05MB,200MB / 226MB,55
2025-12-04T21:13:13+0100,7.40%,294.8MiB / 27.26GiB,64.8MB / 2.07MB,200MB / 226MB,55
2025-12-04T21:13:16+0100,3.47%,303.4MiB / 27.26GiB,64.9MB / 2.1MB,200MB / 226MB,56
2025-12-04T21:13:19+0100,9.78%,298MiB / 27.26GiB,64.9MB / 2.11MB,200MB / 226MB,57
2025-12-04T21:13:21+0100,8.82%,298.5MiB / 27.26GiB,65MB / 2.13MB,200MB / 288MB,56
2025-12-04T21:13:24+0100,4.11%,298.7MiB / 27.26GiB,65.1MB / 2.15MB,200MB / 288MB,54
2025-12-04T21:13:27+0100,22.71%,305.7MiB / 27.26GiB,65.1MB / 2.17MB,200MB / 288MB,57
2025-12-04T21:13:29+0100,17.28%,306.3MiB / 27.26GiB,65.2MB / 2.19MB,200MB / 288MB,57
2025-12-04T21:13:32+0100,3.94%,306.6MiB / 27.26GiB,65.3MB / 2.21MB,200MB / 288MB,54
2025-12-04T21:13:35+0100,8.17%,302.8MiB / 27.26GiB,65.4MB / 2.25MB,200MB / 288MB,62
2025-12-04T21:13:37+0100,364.75%,245.9MiB / 27.26GiB,72.4MB / 2.43MB,200MB / 288MB,62
2025-12-04T21:13:40+0100,21.61%,231.5MiB / 27.26GiB,72.7MB / 2.46MB,200MB / 288MB,60
2025-12-04T21:13:42+0100,16.28%,245.1MiB / 27.26GiB,73.2MB / 2.49MB,200MB / 288MB,60
2025-12-04T21:13:45+0100,25.25%,271.4MiB / 27.26GiB,73.5MB / 2.52MB,200MB / 288MB,60
2025-12-04T21:13:47+0100,107.35%,313.1MiB / 27.26GiB,74.1MB / 2.55MB,200MB / 300MB,62
2025-12-04T21:13:50+0100,11.47%,314.6MiB / 27.26GiB,76.3MB / 2.6MB,200MB / 300MB,60
2025-12-04T21:13:53+0100,44.76%,311.6MiB / 27.26GiB,78.8MB / 2.74MB,200MB / 300MB,61
2025-12-04T21:13:55+0100,23.17%,313.6MiB / 27.26GiB,81.1MB / 2.84MB,200MB / 300MB,65
2025-12-04T21:13:58+0100,719.31%,427.1MiB / 27.26GiB,96.2MB / 3.2MB,200MB / 300MB,66
2025-12-04T21:14:00+0100,27.82%,460.7MiB / 27.26GiB,98.4MB / 3.27MB,201MB / 300MB,60
2025-12-04T21:14:03+0100,10.05%,464.9MiB / 27.26GiB,98.5MB / 3.3MB,201MB / 318MB,63
2025-12-04T21:14:06+0100,727.02%,603.2MiB / 27.26GiB,99.7MB / 3.33MB,201MB / 318MB,67
2025-12-04T21:14:08+0100,830.99%,706.4MiB / 27.26GiB,99.7MB / 3.33MB,201MB / 322MB,67
2025-12-04T21:14:11+0100,260.79%,823.5MiB / 27.26GiB,101MB / 3.36MB,201MB / 322MB,61
2025-12-04T21:14:13+0100,448.83%,835.7MiB / 27.26GiB,101MB / 3.4MB,202MB / 322MB,67
2025-12-04T21:14:16+0100,346.90%,979.2MiB / 27.26GiB,101MB / 3.4MB,202MB / 322MB,66
2025-12-04T21:14:19+0100,6.39%,983.3MiB / 27.26GiB,102MB / 3.43MB,202MB / 322MB,62
2025-12-04T21:14:21+0100,31.50%,977.7MiB / 27.26GiB,106MB / 3.55MB,202MB / 322MB,60
2025-12-04T21:14:24+0100,85.30%,981.8MiB / 27.26GiB,116MB / 3.78MB,202MB / 322MB,64
2025-12-04T21:14:27+0100,86.73%,1GiB / 27.26GiB,117MB / 3.8MB,202MB / 322MB,66
2025-12-04T21:14:29+0100,3.92%,1.001GiB / 27.26GiB,117MB / 3.82MB,202MB / 322MB,60
2025-12-04T21:14:32+0100,7.67%,1019MiB / 27.26GiB,117MB / 3.84MB,202MB / 322MB,59
2025-12-04T21:14:35+0100,10.67%,1019MiB / 27.26GiB,117MB / 3.86MB,202MB / 323MB,62
2025-12-04T21:14:37+0100,14.38%,1019MiB / 27.26GiB,117MB / 3.89MB,202MB / 323MB,59
2025-12-04T21:14:40+0100,21.77%,1021MiB / 27.26GiB,129MB / 4.22MB,202MB / 333MB,64
2025-12-04T21:14:42+0100,25.03%,1.004GiB / 27.26GiB,135MB / 4.36MB,202MB / 333MB,60
2025-12-04T21:14:45+0100,10.39%,1.004GiB / 27.26GiB,135MB / 4.38MB,202MB / 338MB,59
2025-12-04T21:14:47+0100,11.31%,1023MiB / 27.26GiB,141MB / 4.54MB,202MB / 358MB,64
2025-12-04T21:14:50+0100,98.52%,1.011GiB / 27.26GiB,154MB / 4.87MB,203MB / 368MB,77
2025-12-04T21:14:53+0100,0.47%,109.9MiB / 27.26GiB,155MB / 4.9MB,203MB / 368MB,30
2025-12-04T21:14:55+0100,41.92%,112.2MiB / 27.26GiB,165MB / 5.17MB,203MB / 373MB,30
2025-12-04T21:14:58+0100,2.00%,111.3MiB / 27.26GiB,169MB / 5.28MB,203MB / 373MB,30
2025-12-04T21:15:00+0100,15.61%,111.8MiB / 27.26GiB,172MB / 5.36MB,203MB / 394MB,30
2025-12-04T21:15:03+0100,33.60%,215.3MiB / 27.26GiB,187MB / 5.71MB,203MB / 412MB,47
2025-12-04T21:15:06+0100,36.55%,220MiB / 27.26GiB,216MB / 6.37MB,203MB / 412MB,47
2025-12-04T21:15:08+0100,17.09%,213.1MiB / 27.26GiB,245MB / 7.03MB,203MB / 413MB,47
2025-12-04T21:15:11+0100,15.72%,214.1MiB / 27.26GiB,273MB / 7.68MB,203MB / 413MB,47
2025-12-04T21:15:13+0100,15.24%,214.7MiB / 27.26GiB,292MB / 8.14MB,203MB / 432MB,47
2025-12-04T21:15:16+0100,166.04%,257.5MiB / 27.26GiB,314MB / 8.65MB,203MB / 432MB,56
