timestamp,cpu_perc,mem_usage,net_io,block_io,pids
2025-12-09T11:54:18+0100,0.03%,58.09MiB / 27.26GiB,10kB / 7.21kB,198MB / 0B,22
2025-12-09T11:54:21+0100,278.37%,213.6MiB / 27.26GiB,9.98MB / 302kB,217MB / 131MB,60
2025-12-09T11:54:23+0100,20.43%,212.5MiB / 27.26GiB,10MB / 316kB,221MB / 131MB,58
2025-12-09T11:54:26+0100,22.05%,226.7MiB / 27.26GiB,10.2MB / 335kB,221MB / 229MB,58
2025-12-09T11:54:29+0100,24.35%,253.2MiB / 27.26GiB,10.2MB / 364kB,221MB / 229MB,65
2025-12-09T11:54:31+0100,46.57%,277.5MiB / 27.26GiB,20.1MB / 678kB,221MB / 229MB,58
2025-12-09T11:54:34+0100,49.56%,287.8MiB / 27.26GiB,20.4MB / 728kB,221MB / 229MB,58
2025-12-09T11:54:37+0100,25.88%,291MiB / 27.26GiB,39.5MB / 1.28MB,221MB / 229MB,62
2025-12-09T11:54:39+0100,18.76%,291.9MiB / 27.26GiB,64.6MB / 1.97MB,221MB / 229MB,56
2025-12-09T11:54:42+0100,6.39%,292.9MiB / 27.26GiB,64.6MB / 1.99MB,221MB / 229MB,57
2025-12-09T11:54:44+0100,8.45%,293.3MiB / 27.26GiB,64.7MB / 2.01MB,221MB / 229MB,57
2025-12-09T11:54:47+0100,5.05%,293.8MiB / 27.26GiB,64.8MB / 2.03MB,221MB / 229MB,57
2025-12-09T11:54:50+0100,4.04%,294.9MiB / 27.26GiB,64.9MB / 2.05MB,221MB / 229MB,55
2025-12-09T11:54:52+0100,4.61%,295.6MiB / 27.26GiB,64.9MB / 2.08MB,221MB / 290MB,55
2025-12-09T11:54:55+0100,6.11%,296.2MiB / 27.26GiB,65MB / 2.09MB,221MB / 290MB,55
2025-12-09T11:54:58+0100,5.98%,297.5MiB / 27.26GiB,65.1MB / 2.11MB,221MB / 290MB,55
2025-12-09T11:55:00+0100,4.35%,297.7MiB / 27.26GiB,65.2MB / 2.13MB,221MB / 290MB,55
2025-12-09T11:55:03+0100,18.60%,299.9MiB / 27.26GiB,65.2MB / 2.16MB,221MB / 290MB,62
2025-12-09T11:55:06+0100,100.92%,128.4MiB / 27.26GiB,72.3MB / 2.37MB,221MB / 290MB,44
2025-12-09T11:55:08+0100,64.63%,231.6MiB / 27.26GiB,72.5MB / 2.39MB,221MB / 290MB,58
2025-12-09T11:55:11+0100,26.18%,249MiB / 27.26GiB,72.9MB / 2.42MB,221MB / 290MB,58
2025-12-09T11:55:13+0100,21.27%,266.8MiB / 27.26GiB,73.4MB / 2.45MB,221MB / 301MB,58
2025-12-09T11:55:16+0100,52.97%,301.2MiB / 27.26GiB,74MB / 2.49MB,221MB / 301MB,60
2025-12-09T11:55:18+0100,15.62%,325.9MiB / 27.26GiB,76.2MB / 2.57MB,221MB / 301MB,66
2025-12-09T11:55:21+0100,55.38%,342.3MiB / 27.26GiB,78.7MB / 2.68MB,221MB / 301MB,58
2025-12-09T11:55:24+0100,20.68%,343.8MiB / 27.26GiB,83.4MB / 2.82MB,221MB / 301MB,62
2025-12-09T11:55:26+0100,344.28%,408.3MiB / 27.26GiB,96.2MB / 3.1MB,221MB / 301MB,58
2025-12-09T11:55:29+0100,32.02%,454.9MiB / 27.26GiB,98.3MB / 3.17MB,221MB / 317MB,59
2025-12-09T11:55:31+0100,6.87%,467.1MiB / 27.26GiB,98.4MB / 3.19MB,221MB / 317MB,55
2025-12-09T11:55:34+0100,711.21%,686.5MiB / 27.26GiB,99.6MB / 3.23MB,222MB / 321MB,65
2025-12-09T11:55:37+0100,494.38%,728.6MiB / 27.26GiB,99.6MB / 3.23MB,222MB / 321MB,64
2025-12-09T11:55:39+0100,79.69%,824.1MiB / 27.26GiB,100MB / 3.26MB,222MB / 321MB,58
2025-12-09T11:55:42+0100,433.32%,992.9MiB / 27.26GiB,101MB / 3.29MB,222MB / 321MB,79
2025-12-09T11:55:44+0100,322.31%,1.061GiB / 27.26GiB,101MB / 3.29MB,222MB / 321MB,77
2025-12-09T11:55:47+0100,2.80%,1.063GiB / 27.26GiB,102MB / 3.33MB,222MB / 321MB,71
2025-12-09T11:55:50+0100,7.77%,1.065GiB / 27.26GiB,106MB / 3.44MB,222MB / 369MB,70
2025-12-09T11:55:52+0100,498.03%,1.104GiB / 27.26GiB,116MB / 3.67MB,222MB / 369MB,94
