timestamp,cpu_perc,mem_usage,net_io,block_io,pids
2025-12-04T21:18:53+0100,283.83%,186.3MiB / 27.26GiB,9.98MB / 305kB,0B / 0B,58
2025-12-04T21:18:56+0100,20.14%,204.5MiB / 27.26GiB,10MB / 318kB,0B / 130MB,57
2025-12-04T21:18:59+0100,17.96%,215.3MiB / 27.26GiB,10.1MB / 334kB,0B / 130MB,57
2025-12-04T21:19:01+0100,10.79%,228.1MiB / 27.26GiB,10.2MB / 351kB,0B / 227MB,57
2025-12-04T21:19:04+0100,7.79%,242.1MiB / 27.26GiB,10.4MB / 375kB,0B / 227MB,61
2025-12-04T21:19:06+0100,73.97%,261.4MiB / 27.26GiB,20MB / 713kB,0B / 227MB,56
2025-12-04T21:19:09+0100,12.24%,261.4MiB / 27.26GiB,20.2MB / 740kB,0B / 227MB,56
2025-12-04T21:19:12+0100,6.32%,263.5MiB / 27.26GiB,20.3MB / 758kB,0B / 227MB,54
2025-12-04T21:19:14+0100,20.08%,266.2MiB / 27.26GiB,20.4MB / 781kB,0B / 227MB,56
2025-12-04T21:19:17+0100,6.89%,267.7MiB / 27.26GiB,20.7MB / 802kB,0B / 227MB,57
2025-12-04T21:19:19+0100,10.58%,268.8MiB / 27.26GiB,32MB / 1.19MB,0B / 227MB,59
2025-12-04T21:19:22+0100,9.80%,289.6MiB / 27.26GiB,48.7MB / 1.78MB,0B / 227MB,59
2025-12-04T21:19:25+0100,5.81%,280.2MiB / 27.26GiB,59.7MB / 2.18MB,0B / 227MB,59
2025-12-04T21:19:28+0100,1.79%,279.5MiB / 27.26GiB,64.6MB / 2.35MB,0B / 227MB,59
2025-12-04T21:19:30+0100,3.55%,279.7MiB / 27.26GiB,64.6MB / 2.36MB,0B / 227MB,55
2025-12-04T21:19:33+0100,6.93%,280.7MiB / 27.26GiB,64.7MB / 2.37MB,0B / 230MB,57
2025-12-04T21:19:35+0100,7.79%,280.7MiB / 27.26GiB,64.7MB / 2.38MB,0B / 230MB,54
