timestamp,cpu_perc,mem_usage,net_io,block_io,pids
2025-12-08T15:59:34+0100,13.69%,68.45MiB / 27.26GiB,9.52MB / 288kB,219MB / 0B,25
2025-12-08T15:59:37+0100,111.34%,221.1MiB / 27.26GiB,10MB / 303kB,244MB / 131MB,58
2025-12-08T15:59:40+0100,20.72%,234.3MiB / 27.26GiB,10.1MB / 322kB,244MB / 131MB,58
2025-12-08T15:59:42+0100,17.09%,246.2MiB / 27.26GiB,10.2MB / 339kB,244MB / 228MB,58
2025-12-08T15:59:45+0100,41.87%,266.9MiB / 27.26GiB,18.6MB / 633kB,244MB / 228MB,63
2025-12-08T15:59:47+0100,46.53%,286.5MiB / 27.26GiB,20.1MB / 693kB,244MB / 228MB,58
2025-12-08T15:59:50+0100,47.41%,293.9MiB / 27.26GiB,20.4MB / 738kB,244MB / 228MB,58
2025-12-08T15:59:53+0100,27.14%,297MiB / 27.26GiB,35.2MB / 1.13MB,244MB / 228MB,61
2025-12-08T15:59:55+0100,13.62%,295.5MiB / 27.26GiB,60.5MB / 1.89MB,244MB / 228MB,60
2025-12-08T15:59:58+0100,5.82%,295.6MiB / 27.26GiB,64.6MB / 1.99MB,244MB / 228MB,58
2025-12-08T16:00:00+0100,8.70%,297MiB / 27.26GiB,64.7MB / 2.01MB,244MB / 228MB,57
2025-12-08T16:00:03+0100,6.95%,298.2MiB / 27.26GiB,64.8MB / 2.03MB,244MB / 228MB,57
2025-12-08T16:00:06+0100,8.08%,300.7MiB / 27.26GiB,64.8MB / 2.05MB,244MB / 228MB,58
2025-12-08T16:00:09+0100,8.72%,301.3MiB / 27.26GiB,64.9MB / 2.06MB,244MB / 289MB,58
2025-12-08T16:00:11+0100,9.04%,301.8MiB / 27.26GiB,65MB / 2.08MB,244MB / 289MB,55
2025-12-08T16:00:14+0100,4.13%,303.5MiB / 27.26GiB,65MB / 2.1MB,244MB / 289MB,55
2025-12-08T16:00:16+0100,9.08%,315.3MiB / 27.26GiB,65.1MB / 2.12MB,244MB / 289MB,58
2025-12-08T16:00:19+0100,4.73%,316.2MiB / 27.26GiB,65.2MB / 2.14MB,244MB / 289MB,55
2025-12-08T16:00:22+0100,3.88%,308.6MiB / 27.26GiB,65.3MB / 2.16MB,244MB / 289MB,55
2025-12-08T16:00:25+0100,5.81%,309.9MiB / 27.26GiB,65.4MB / 2.2MB,244MB / 289MB,56
2025-12-08T16:00:27+0100,366.26%,248MiB / 27.26GiB,72.4MB / 2.39MB,244MB / 289MB,59
2025-12-08T16:00:30+0100,22.17%,245.1MiB / 27.26GiB,72.7MB / 2.41MB,244MB / 299MB,59
