timestamp,cpu_perc,mem_usage,net_io,block_io,pids
2025-12-04T17:02:57+0100,278.53%,184MiB / 27.26GiB,9.98MB / 303kB,2.97MB / 0B,59
2025-12-04T17:03:00+0100,25.59%,201.7MiB / 27.26GiB,10MB / 316kB,2.97MB / 130MB,57
2025-12-04T17:03:03+0100,19.04%,213.6MiB / 27.26GiB,10.2MB / 336kB,2.97MB / 130MB,57
2025-12-04T17:03:05+0100,27.25%,237.1MiB / 27.26GiB,10.3MB / 366kB,2.97MB / 143MB,64
2025-12-04T17:03:08+0100,41.11%,262.3MiB / 27.26GiB,20.1MB / 676kB,2.97MB / 227MB,57
2025-12-04T17:03:10+0100,26.75%,270.6MiB / 27.26GiB,20.3MB / 709kB,2.97MB / 227MB,57
2025-12-04T17:03:13+0100,27.85%,278.4MiB / 27.26GiB,25.3MB / 859kB,2.97MB / 227MB,62
2025-12-04T17:03:16+0100,19.64%,282.1MiB / 27.26GiB,54.4MB / 1.66MB,2.97MB / 227MB,59
2025-12-04T17:03:18+0100,7.02%,281.5MiB / 27.26GiB,64.6MB / 1.92MB,2.97MB / 227MB,55
2025-12-04T17:03:21+0100,7.18%,282.6MiB / 27.26GiB,64.7MB / 1.94MB,2.97MB / 227MB,57
2025-12-04T17:03:24+0100,5.15%,283.5MiB / 27.26GiB,64.7MB / 1.96MB,2.97MB / 227MB,55
2025-12-04T17:03:26+0100,8.43%,291.8MiB / 27.26GiB,64.8MB / 1.98MB,2.97MB / 227MB,54
2025-12-04T17:03:29+0100,6.16%,292.7MiB / 27.26GiB,64.9MB / 2MB,2.97MB / 227MB,55
2025-12-04T17:03:32+0100,5.13%,293.5MiB / 27.26GiB,65MB / 2.02MB,2.97MB / 288MB,54
2025-12-04T17:03:34+0100,9.28%,293.9MiB / 27.26GiB,65.1MB / 2.04MB,2.97MB / 288MB,54
2025-12-04T17:03:37+0100,15.91%,295.5MiB / 27.26GiB,65.1MB / 2.06MB,2.97MB / 288MB,56
2025-12-04T17:03:39+0100,4.38%,295.4MiB / 27.26GiB,65.2MB / 2.08MB,2.97MB / 288MB,54
2025-12-04T17:03:42+0100,21.63%,296.9MiB / 27.26GiB,65.3MB / 2.11MB,2.97MB / 288MB,62
2025-12-04T17:03:45+0100,251.41%,179.5MiB / 27.26GiB,72.4MB / 2.32MB,2.97MB / 288MB,59
2025-12-04T17:03:47+0100,35.25%,217.1MiB / 27.26GiB,72.6MB / 2.33MB,2.97MB / 288MB,57
2025-12-04T17:03:50+0100,24.92%,236.8MiB / 27.26GiB,73.1MB / 2.37MB,2.97MB / 288MB,57
2025-12-04T17:03:53+0100,34.46%,266.8MiB / 27.26GiB,73.5MB / 2.41MB,2.97MB / 288MB,57
2025-12-04T17:03:55+0100,123.25%,300MiB / 27.26GiB,74.2MB / 2.44MB,2.97MB / 288MB,57
2025-12-04T17:03:58+0100,26.60%,303.4MiB / 27.26GiB,77MB / 2.52MB,2.97MB / 302MB,63
2025-12-04T17:04:01+0100,59.06%,303.1MiB / 27.26GiB,78.7MB / 2.6MB,2.97MB / 302MB,57
2025-12-04T17:04:03+0100,14.26%,303.8MiB / 27.26GiB,83.3MB / 2.79MB,2.97MB / 302MB,59
2025-12-04T17:04:06+0100,547.59%,393.9MiB / 27.26GiB,96.2MB / 3.07MB,2.97MB / 302MB,59
2025-12-04T17:04:08+0100,35.26%,426.1MiB / 27.26GiB,98.3MB / 3.14MB,2.97MB / 302MB,57
2025-12-04T17:04:11+0100,56.01%,373.6MiB / 27.26GiB,99.6MB / 3.21MB,2.97MB / 302MB,58
2025-12-04T17:04:14+0100,803.83%,621.2MiB / 27.26GiB,99.6MB / 3.21MB,2.97MB / 320MB,64
2025-12-04T17:04:17+0100,577.36%,660.6MiB / 27.26GiB,99.6MB / 3.22MB,2.97MB / 320MB,64
2025-12-04T17:04:19+0100,245.39%,710.6MiB / 27.26GiB,100MB / 3.25MB,2.97MB / 324MB,59
2025-12-04T17:04:22+0100,489.47%,862.4MiB / 27.26GiB,101MB / 3.29MB,2.97MB / 324MB,65
2025-12-04T17:04:24+0100,555.23%,955.8MiB / 27.26GiB,101MB / 3.29MB,2.97MB / 324MB,66
2025-12-04T17:04:27+0100,26.00%,929.9MiB / 27.26GiB,102MB / 3.32MB,2.97MB / 324MB,59
2025-12-04T17:04:30+0100,53.10%,931.1MiB / 27.26GiB,106MB / 3.45MB,2.97MB / 324MB,59
2025-12-04T17:04:33+0100,152.53%,938.6MiB / 27.26GiB,116MB / 3.68MB,2.97MB / 324MB,61
2025-12-04T17:04:36+0100,74.77%,940.3MiB / 27.26GiB,117MB / 3.71MB,2.97MB / 324MB,59
2025-12-04T17:04:38+0100,7.86%,940.8MiB / 27.26GiB,117MB / 3.73MB,2.97MB / 388MB,56
2025-12-04T17:04:41+0100,9.60%,940.9MiB / 27.26GiB,117MB / 3.75MB,2.97MB / 388MB,56
2025-12-04T17:04:43+0100,5.08%,941.6MiB / 27.26GiB,117MB / 3.78MB,2.97MB / 395MB,57
2025-12-04T17:04:46+0100,8.35%,942.6MiB / 27.26GiB,119MB / 3.86MB,2.97MB / 395MB,61
2025-12-04T17:04:49+0100,69.13%,947.4MiB / 27.26GiB,135MB / 4.23MB,2.97MB / 395MB,59
2025-12-04T17:04:51+0100,7.99%,949.7MiB / 27.26GiB,135MB / 4.25MB,2.97MB / 395MB,56
2025-12-04T17:04:54+0100,26.29%,961.7MiB / 27.26GiB,135MB / 4.27MB,2.97MB / 395MB,59
2025-12-04T17:04:56+0100,149.19%,962MiB / 27.26GiB,154MB / 4.75MB,2.97MB / 395MB,76
2025-12-04T17:04:59+0100,0.72%,95.96MiB / 27.26GiB,155MB / 4.79MB,2.97MB / 395MB,30
