timestamp,cpu_perc,mem_usage,net_io,block_io,pids
2025-12-09T12:48:54+0100,0.01%,58.07MiB / 27.26GiB,10.2kB / 7.14kB,208MB / 0B,19
2025-12-09T12:48:57+0100,171.39%,182.8MiB / 27.26GiB,9.98MB / 306kB,230MB / 131MB,48
2025-12-09T12:49:00+0100,25.34%,209.7MiB / 27.26GiB,10MB / 318kB,237MB / 131MB,55
2025-12-09T12:49:02+0100,18.92%,223.9MiB / 27.26GiB,10.2MB / 338kB,237MB / 131MB,55
2025-12-09T12:49:05+0100,24.48%,250MiB / 27.26GiB,10.2MB / 358kB,237MB / 229MB,61
2025-12-09T12:49:07+0100,38.62%,264.5MiB / 27.26GiB,19.9MB / 613kB,237MB / 229MB,55
2025-12-09T12:49:10+0100,20.58%,280.5MiB / 27.26GiB,20.2MB / 653kB,237MB / 229MB,55
2025-12-09T12:49:13+0100,34.11%,287.9MiB / 27.26GiB,20.5MB / 686kB,237MB / 229MB,55
2025-12-09T12:49:15+0100,25.94%,290.4MiB / 27.26GiB,43.4MB / 1.32MB,237MB / 229MB,60
2025-12-09T12:49:18+0100,21.48%,292MiB / 27.26GiB,64.6MB / 1.88MB,237MB / 229MB,55
2025-12-09T12:49:20+0100,6.04%,292.8MiB / 27.26GiB,64.6MB / 1.9MB,237MB / 229MB,55
2025-12-09T12:49:23+0100,5.40%,293.6MiB / 27.26GiB,64.7MB / 1.93MB,237MB / 229MB,54
2025-12-09T12:49:26+0100,7.75%,294MiB / 27.26GiB,64.8MB / 1.95MB,237MB / 229MB,54
2025-12-09T12:49:29+0100,4.67%,296MiB / 27.26GiB,64.9MB / 1.97MB,237MB / 290MB,57
2025-12-09T12:49:31+0100,5.34%,296.4MiB / 27.26GiB,65MB / 1.99MB,237MB / 290MB,56
2025-12-09T12:49:34+0100,9.66%,297.2MiB / 27.26GiB,65.1MB / 2.01MB,237MB / 290MB,56
2025-12-09T12:49:36+0100,15.82%,298.7MiB / 27.26GiB,65.1MB / 2.03MB,237MB / 290MB,57
2025-12-09T12:49:39+0100,3.27%,299.1MiB / 27.26GiB,65.2MB / 2.05MB,237MB / 290MB,56
2025-12-09T12:49:42+0100,14.85%,300.6MiB / 27.26GiB,65.3MB / 2.08MB,237MB / 290MB,64
2025-12-09T12:49:45+0100,278.94%,224.4MiB / 27.26GiB,72.4MB / 2.29MB,238MB / 290MB,61
2025-12-09T12:49:47+0100,26.66%,238.8MiB / 27.26GiB,72.7MB / 2.32MB,238MB / 290MB,59
2025-12-09T12:49:50+0100,19.83%,256.7MiB / 27.26GiB,73.1MB / 2.35MB,238MB / 301MB,59
2025-12-09T12:49:52+0100,29.68%,286.6MiB / 27.26GiB,73.6MB / 2.39MB,238MB / 301MB,59
2025-12-09T12:49:55+0100,37.06%,328.8MiB / 27.26GiB,74.8MB / 2.43MB,238MB / 301MB,59
2025-12-09T12:49:58+0100,28.96%,331.1MiB / 27.26GiB,78.5MB / 2.57MB,238MB / 301MB,65
2025-12-09T12:50:00+0100,61.52%,346.4MiB / 27.26GiB,78.8MB / 2.6MB,238MB / 301MB,58
2025-12-09T12:50:03+0100,21.01%,348MiB / 27.26GiB,89.4MB / 2.91MB,238MB / 301MB,62
2025-12-09T12:50:05+0100,78.26%,419MiB / 27.26GiB,96.8MB / 3.09MB,238MB / 315MB,60
2025-12-09T12:50:08+0100,11.81%,438.4MiB / 27.26GiB,98.4MB / 3.17MB,238MB / 315MB,58
2025-12-09T12:50:11+0100,443.50%,541.1MiB / 27.26GiB,99.6MB / 3.23MB,249MB / 319MB,65
2025-12-09T12:50:14+0100,744.80%,760.4MiB / 27.26GiB,99.6MB / 3.23MB,251MB / 319MB,66
2025-12-09T12:50:16+0100,199.86%,771MiB / 27.26GiB,101MB / 3.26MB,251MB / 319MB,62
2025-12-09T12:50:19+0100,313.21%,849.5MiB / 27.26GiB,101MB / 3.29MB,251MB / 319MB,81
2025-12-09T12:50:21+0100,423.28%,1018MiB / 27.26GiB,101MB / 3.3MB,251MB / 360MB,80
2025-12-09T12:50:24+0100,12.51%,1.012GiB / 27.26GiB,102MB / 3.33MB,251MB / 360MB,74
2025-12-09T12:50:27+0100,27.67%,1.013GiB / 27.26GiB,106MB / 3.44MB,251MB / 363MB,74
2025-12-09T12:50:29+0100,12.59%,1.015GiB / 27.26GiB,116MB / 3.67MB,251MB / 363MB,79
2025-12-09T12:50:32+0100,43.69%,1.093GiB / 27.26GiB,117MB / 3.71MB,252MB / 363MB,73
2025-12-09T12:50:34+0100,15.11%,1.116GiB / 27.26GiB,117MB / 3.73MB,253MB / 363MB,71
2025-12-09T12:50:37+0100,7.76%,1.121GiB / 27.26GiB,117MB / 3.75MB,253MB / 363MB,71
2025-12-09T12:50:39+0100,5.69%,1.121GiB / 27.26GiB,117MB / 3.78MB,253MB / 395MB,71
2025-12-09T12:50:42+0100,5.81%,1.127GiB / 27.26GiB,117MB / 3.81MB,253MB / 395MB,76
2025-12-09T12:50:45+0100,71.34%,1.152GiB / 27.26GiB,135MB / 4.25MB,253MB / 395MB,72
