timestamp,cpu_perc,mem_usage,net_io,block_io,pids
2025-12-04T21:05:48+0100,258.54%,183.6MiB / 27.26GiB,9.98MB / 309kB,135kB / 0B,56
2025-12-04T21:05:51+0100,24.99%,205.8MiB / 27.26GiB,10MB / 323kB,135kB / 130MB,55
2025-12-04T21:05:54+0100,18.85%,218.5MiB / 27.26GiB,10.2MB / 344kB,135kB / 130MB,55
2025-12-04T21:05:56+0100,28.51%,243.3MiB / 27.26GiB,10.4MB / 382kB,135kB / 227MB,62
2025-12-04T21:05:59+0100,73.10%,264MiB / 27.26GiB,20MB / 613kB,135kB / 227MB,55
2025-12-04T21:06:01+0100,20.34%,272.5MiB / 27.26GiB,20.2MB / 646kB,135kB / 227MB,55
2025-12-04T21:06:04+0100,30.24%,271.9MiB / 27.26GiB,20.5MB / 686kB,135kB / 227MB,55
2025-12-04T21:06:07+0100,25.88%,279.9MiB / 27.26GiB,45MB / 1.47MB,135kB / 227MB,58
2025-12-04T21:06:09+0100,14.77%,273.4MiB / 27.26GiB,64.6MB / 1.98MB,135kB / 227MB,52
2025-12-04T21:06:12+0100,4.97%,275.2MiB / 27.26GiB,64.7MB / 2MB,135kB / 227MB,53
2025-12-04T21:06:14+0100,8.18%,275.4MiB / 27.26GiB,64.8MB / 2.02MB,135kB / 227MB,53
2025-12-04T21:06:17+0100,10.90%,289.9MiB / 27.26GiB,64.9MB / 2.04MB,135kB / 227MB,55
2025-12-04T21:06:20+0100,5.35%,291.5MiB / 27.26GiB,64.9MB / 2.06MB,135kB / 227MB,54
2025-12-04T21:06:23+0100,5.53%,292MiB / 27.26GiB,65MB / 2.08MB,135kB / 285MB,52
2025-12-04T21:06:25+0100,4.65%,292.2MiB / 27.26GiB,65.1MB / 2.1MB,135kB / 285MB,52
2025-12-04T21:06:28+0100,5.42%,293.3MiB / 27.26GiB,65.2MB / 2.12MB,135kB / 288MB,53
2025-12-04T21:06:30+0100,5.35%,294MiB / 27.26GiB,65.2MB / 2.13MB,135kB / 288MB,52
2025-12-04T21:06:33+0100,14.21%,294.5MiB / 27.26GiB,65.3MB / 2.16MB,135kB / 288MB,52
2025-12-04T21:06:36+0100,23.93%,296.3MiB / 27.26GiB,67.9MB / 2.27MB,135kB / 288MB,59
2025-12-04T21:06:38+0100,268.80%,201.3MiB / 27.26GiB,72.4MB / 2.38MB,135kB / 288MB,59
2025-12-04T21:06:41+0100,21.75%,223.3MiB / 27.26GiB,72.8MB / 2.41MB,135kB / 288MB,55
2025-12-04T21:06:43+0100,15.93%,239.4MiB / 27.26GiB,73.3MB / 2.45MB,135kB / 298MB,55
2025-12-04T21:06:46+0100,15.08%,263.2MiB / 27.26GiB,73.9MB / 2.49MB,135kB / 298MB,55
2025-12-04T21:06:48+0100,25.78%,297.6MiB / 27.26GiB,76.2MB / 2.55MB,135kB / 298MB,56
2025-12-04T21:06:51+0100,46.30%,301.5MiB / 27.26GiB,78.6MB / 2.66MB,135kB / 298MB,55
2025-12-04T21:06:54+0100,13.98%,295.6MiB / 27.26GiB,78.8MB / 2.69MB,135kB / 298MB,55
2025-12-04T21:06:56+0100,20.14%,297.2MiB / 27.26GiB,96MB / 3.1MB,135kB / 298MB,57
2025-12-04T21:06:59+0100,43.81%,423.1MiB / 27.26GiB,96.9MB / 3.14MB,135kB / 313MB,53
2025-12-04T21:07:01+0100,7.18%,456.2MiB / 27.26GiB,98.5MB / 3.19MB,135kB / 313MB,54
2025-12-04T21:07:04+0100,651.72%,513.3MiB / 27.26GiB,99.7MB / 3.24MB,135kB / 317MB,62
2025-12-04T21:07:07+0100,907.96%,638.7MiB / 27.26GiB,99.7MB / 3.24MB,135kB / 317MB,62
2025-12-04T21:07:10+0100,397.85%,684.2MiB / 27.26GiB,101MB / 3.27MB,135kB / 317MB,62
2025-12-04T21:07:12+0100,63.25%,665.2MiB / 27.26GiB,101MB / 3.3MB,135kB / 317MB,60
2025-12-04T21:07:15+0100,735.15%,878MiB / 27.26GiB,101MB / 3.31MB,135kB / 317MB,64
2025-12-04T21:07:17+0100,290.71%,976.6MiB / 27.26GiB,101MB / 3.31MB,135kB / 332MB,58
2025-12-04T21:07:20+0100,28.66%,976.7MiB / 27.26GiB,102MB / 3.35MB,135kB / 365MB,57
2025-12-04T21:07:23+0100,10.52%,965.8MiB / 27.26GiB,106MB / 3.47MB,135kB / 365MB,57
2025-12-04T21:07:25+0100,433.16%,989.4MiB / 27.26GiB,116MB / 3.69MB,135kB / 368MB,80
2025-12-04T21:07:28+0100,76.39%,985MiB / 27.26GiB,117MB / 3.72MB,135kB / 368MB,58
2025-12-04T21:07:30+0100,12.92%,985.2MiB / 27.26GiB,117MB / 3.74MB,135kB / 368MB,55
2025-12-04T21:07:33+0100,7.35%,986.2MiB / 27.26GiB,117MB / 3.77MB,135kB / 368MB,54
2025-12-04T21:07:36+0100,5.86%,986MiB / 27.26GiB,117MB / 3.79MB,135kB / 368MB,56
