timestamp,cpu_perc,mem_usage,net_io,block_io,pids
2025-12-04T19:43:29+0100,5.88%,67.16MiB / 27.26GiB,8.39MB / 243kB,217MB / 0B,24
2025-12-04T19:43:32+0100,242.44%,217.4MiB / 27.26GiB,9.99MB / 284kB,244MB / 64.6MB,63
2025-12-04T19:43:34+0100,18.24%,229.9MiB / 27.26GiB,10.1MB / 302kB,244MB / 64.6MB,57
2025-12-04T19:43:37+0100,19.05%,244.2MiB / 27.26GiB,10.2MB / 323kB,244MB / 172MB,57
2025-12-04T19:43:39+0100,37.80%,265.6MiB / 27.26GiB,16.6MB / 548kB,244MB / 172MB,62
2025-12-04T19:43:42+0100,37.97%,295.3MiB / 27.26GiB,20.1MB / 653kB,244MB / 172MB,57
2025-12-04T19:43:44+0100,36.12%,303.8MiB / 27.26GiB,20.4MB / 696kB,244MB / 172MB,57
2025-12-04T19:43:47+0100,7.37%,305.2MiB / 27.26GiB,20.5MB / 710kB,244MB / 172MB,56
2025-12-04T19:43:50+0100,9.93%,306.7MiB / 27.26GiB,26.2MB / 930kB,244MB / 172MB,59
2025-12-04T19:43:52+0100,17.21%,314.5MiB / 27.26GiB,46.4MB / 1.56MB,244MB / 172MB,59
2025-12-04T19:43:55+0100,4.14%,306.9MiB / 27.26GiB,64.8MB / 2.07MB,244MB / 172MB,59
2025-12-04T19:43:57+0100,12.65%,308.6MiB / 27.26GiB,65MB / 2.1MB,244MB / 172MB,57
2025-12-04T19:44:01+0100,10.52%,309.4MiB / 27.26GiB,65.1MB / 2.12MB,244MB / 172MB,57
2025-12-04T19:44:03+0100,5.34%,311.4MiB / 27.26GiB,65.2MB / 2.13MB,244MB / 284MB,57
2025-12-04T19:44:06+0100,10.91%,312MiB / 27.26GiB,65.2MB / 2.15MB,244MB / 284MB,56
2025-12-04T19:44:08+0100,3.79%,312.5MiB / 27.26GiB,65.3MB / 2.17MB,244MB / 287MB,55
2025-12-04T19:44:11+0100,6.52%,313MiB / 27.26GiB,65.3MB / 2.18MB,244MB / 287MB,56
2025-12-04T19:44:13+0100,8.39%,313.5MiB / 27.26GiB,65.4MB / 2.2MB,244MB / 287MB,54
2025-12-04T19:44:16+0100,25.33%,326.1MiB / 27.26GiB,65.5MB / 2.22MB,244MB / 287MB,57
2025-12-04T19:44:19+0100,15.06%,326.3MiB / 27.26GiB,65.5MB / 2.24MB,244MB / 287MB,55
2025-12-04T19:44:21+0100,7.84%,317.9MiB / 27.26GiB,65.6MB / 2.25MB,244MB / 287MB,54
2025-12-04T19:44:24+0100,6.11%,318.4MiB / 27.26GiB,65.7MB / 2.27MB,244MB / 287MB,54
2025-12-04T19:44:26+0100,26.26%,320.6MiB / 27.26GiB,71.6MB / 2.48MB,244MB / 287MB,61
2025-12-04T19:44:29+0100,107.13%,239.1MiB / 27.26GiB,72.9MB / 2.52MB,245MB / 287MB,58
2025-12-04T19:44:32+0100,29.30%,254.9MiB / 27.26GiB,73.3MB / 2.55MB,245MB / 287MB,58
2025-12-04T19:44:34+0100,13.62%,269.1MiB / 27.26GiB,73.7MB / 2.59MB,245MB / 299MB,57
2025-12-04T19:44:37+0100,14.94%,289.5MiB / 27.26GiB,74.2MB / 2.62MB,245MB / 299MB,57
2025-12-04T19:44:40+0100,16.94%,321.2MiB / 27.26GiB,76.6MB / 2.69MB,245MB / 299MB,57
2025-12-04T19:44:42+0100,65.80%,326.7MiB / 27.26GiB,78.9MB / 2.81MB,245MB / 299MB,57
2025-12-04T19:44:45+0100,6.69%,336.1MiB / 27.26GiB,79.2MB / 2.84MB,245MB / 299MB,57
2025-12-04T19:44:48+0100,20.63%,338.5MiB / 27.26GiB,96.6MB / 3.22MB,245MB / 299MB,56
2025-12-04T19:44:50+0100,40.42%,468MiB / 27.26GiB,97.3MB / 3.25MB,245MB / 312MB,57
2025-12-04T19:44:53+0100,34.89%,463.1MiB / 27.26GiB,98.8MB / 3.3MB,245MB / 312MB,57
2025-12-04T19:44:55+0100,7.20%,474.8MiB / 27.26GiB,98.9MB / 3.32MB,245MB / 317MB,55
2025-12-04T19:44:58+0100,828.51%,660.8MiB / 27.26GiB,100MB / 3.36MB,258MB / 317MB,64
2025-12-04T19:45:01+0100,502.86%,735.6MiB / 27.26GiB,100MB / 3.37MB,259MB / 317MB,62
2025-12-04T19:45:03+0100,148.44%,820.8MiB / 27.26GiB,101MB / 3.4MB,259MB / 317MB,56
2025-12-04T19:45:06+0100,501.38%,914.5MiB / 27.26GiB,102MB / 3.43MB,259MB / 317MB,66
2025-12-04T19:45:08+0100,383.38%,1.044GiB / 27.26GiB,102MB / 3.43MB,259MB / 317MB,64
2025-12-04T19:45:11+0100,5.82%,1.044GiB / 27.26GiB,102MB / 3.46MB,259MB / 364MB,58
2025-12-04T19:45:13+0100,44.73%,1.011GiB / 27.26GiB,107MB / 3.58MB,259MB / 366MB,56
2025-12-04T19:45:16+0100,180.57%,1.02GiB / 27.26GiB,116MB / 3.82MB,259MB / 366MB,61
2025-12-04T19:45:19+0100,117.19%,1.067GiB / 27.26GiB,117MB / 3.85MB,260MB / 367MB,60
2025-12-04T19:45:22+0100,6.53%,1.067GiB / 27.26GiB,117MB / 3.87MB,260MB / 367MB,56
2025-12-04T19:45:24+0100,4.48%,1.059GiB / 27.26GiB,117MB / 3.89MB,260MB / 367MB,56
2025-12-04T19:45:27+0100,8.36%,1.06GiB / 27.26GiB,117MB / 3.91MB,260MB / 367MB,58
2025-12-04T19:45:29+0100,14.24%,1.062GiB / 27.26GiB,117MB / 3.93MB,260MB / 393MB,58
2025-12-04T19:45:32+0100,13.69%,1.064GiB / 27.26GiB,125MB / 4.15MB,260MB / 393MB,63
2025-12-04T19:45:35+0100,35.74%,1.067GiB / 27.26GiB,136MB / 4.41MB,260MB / 396MB,60
2025-12-04T19:45:38+0100,4.05%,1.068GiB / 27.26GiB,136MB / 4.43MB,260MB / 396MB,58
