timestamp,cpu_perc,mem_usage,net_io,block_io,pids
2025-12-08T16:52:48+0100,272.17%,181.7MiB / 27.26GiB,9.98MB / 281kB,0B / 0B,60
2025-12-08T16:52:52+0100,27.36%,198.6MiB / 27.26GiB,10MB / 291kB,0B / 131MB,58
2025-12-08T16:52:54+0100,19.98%,211.3MiB / 27.26GiB,10.1MB / 309kB,0B / 131MB,59
2025-12-08T16:52:57+0100,13.46%,221.4MiB / 27.26GiB,10.2MB / 325kB,0B / 228MB,58
2025-12-08T16:52:59+0100,23.63%,241.6MiB / 27.26GiB,19.4MB / 679kB,0B / 228MB,63
2025-12-08T16:53:02+0100,26.92%,274.9MiB / 27.26GiB,20.1MB / 722kB,0B / 228MB,58
2025-12-08T16:53:04+0100,43.03%,286.8MiB / 27.26GiB,20.4MB / 765kB,0B / 228MB,58
2025-12-08T16:53:07+0100,34.63%,289.3MiB / 27.26GiB,36.4MB / 1.23MB,0B / 228MB,61
2025-12-08T16:53:10+0100,13.42%,276.8MiB / 27.26GiB,61.2MB / 1.9MB,0B / 228MB,60
2025-12-08T16:53:12+0100,13.27%,278MiB / 27.26GiB,64.7MB / 2MB,0B / 228MB,58
2025-12-08T16:53:15+0100,7.53%,278.2MiB / 27.26GiB,64.7MB / 2.01MB,0B / 228MB,55
2025-12-08T16:53:17+0100,8.65%,280.1MiB / 27.26GiB,64.8MB / 2.04MB,0B / 228MB,55
2025-12-08T16:53:21+0100,4.61%,282MiB / 27.26GiB,64.9MB / 2.06MB,0B / 228MB,57
2025-12-08T16:53:24+0100,7.67%,283.1MiB / 27.26GiB,64.9MB / 2.08MB,0B / 287MB,58
2025-12-08T16:53:26+0100,10.14%,285.1MiB / 27.26GiB,65MB / 2.1MB,0B / 287MB,55
2025-12-08T16:53:29+0100,7.02%,285.8MiB / 27.26GiB,65.1MB / 2.12MB,0B / 289MB,56
2025-12-08T16:53:31+0100,19.47%,297.7MiB / 27.26GiB,65.2MB / 2.13MB,0B / 289MB,58
2025-12-08T16:53:34+0100,4.61%,285.1MiB / 27.26GiB,65.2MB / 2.16MB,0B / 289MB,55
2025-12-08T16:53:37+0100,17.05%,287.7MiB / 27.26GiB,65.3MB / 2.17MB,0B / 289MB,55
2025-12-08T16:53:39+0100,22.20%,290.8MiB / 27.26GiB,69.1MB / 2.32MB,0B / 289MB,61
2025-12-08T16:53:42+0100,267.51%,206.3MiB / 27.26GiB,72.4MB / 2.4MB,0B / 289MB,61
2025-12-08T16:53:44+0100,17.91%,227.4MiB / 27.26GiB,72.8MB / 2.43MB,0B / 289MB,58
2025-12-08T16:53:47+0100,36.53%,245.5MiB / 27.26GiB,73.2MB / 2.46MB,0B / 289MB,58
2025-12-08T16:53:49+0100,34.19%,275.3MiB / 27.26GiB,73.7MB / 2.49MB,0B / 301MB,58
2025-12-08T16:53:52+0100,111.96%,303.6MiB / 27.26GiB,74.1MB / 2.51MB,0B / 301MB,60
2025-12-08T16:53:55+0100,20.46%,305.8MiB / 27.26GiB,76.3MB / 2.57MB,0B / 301MB,58
2025-12-08T16:53:57+0100,12.57%,298.9MiB / 27.26GiB,78.8MB / 2.69MB,0B / 301MB,58
2025-12-08T16:54:00+0100,23.04%,298.4MiB / 27.26GiB,78.8MB / 2.71MB,0B / 301MB,63
2025-12-08T16:54:02+0100,741.59%,415.9MiB / 27.26GiB,96.2MB / 3.08MB,0B / 315MB,62
2025-12-08T16:54:06+0100,35.87%,401.9MiB / 27.26GiB,98.4MB / 3.15MB,0B / 315MB,59
2025-12-08T16:54:08+0100,10.06%,421.6MiB / 27.26GiB,98.5MB / 3.17MB,0B / 319MB,56
2025-12-08T16:54:11+0100,809.10%,524.1MiB / 27.26GiB,99.7MB / 3.22MB,0B / 319MB,65
2025-12-08T16:54:13+0100,862.36%,625MiB / 27.26GiB,99.7MB / 3.22MB,0B / 319MB,65
2025-12-08T16:54:16+0100,106.40%,628.6MiB / 27.26GiB,101MB / 3.24MB,0B / 319MB,65
2025-12-08T16:54:18+0100,171.76%,688.1MiB / 27.26GiB,101MB / 3.28MB,0B / 319MB,65
2025-12-08T16:54:21+0100,685.73%,917.4MiB / 27.26GiB,101MB / 3.28MB,0B / 319MB,66
2025-12-08T16:54:24+0100,381.23%,1.001GiB / 27.26GiB,101MB / 3.28MB,0B / 365MB,65
2025-12-08T16:54:26+0100,13.26%,1GiB / 27.26GiB,102MB / 3.32MB,0B / 365MB,60
2025-12-08T16:54:29+0100,21.06%,1.002GiB / 27.26GiB,106MB / 3.43MB,0B / 368MB,60
2025-12-08T16:54:31+0100,67.32%,1.008GiB / 27.26GiB,116MB / 3.66MB,0B / 368MB,64
2025-12-08T16:54:34+0100,82.03%,1.071GiB / 27.26GiB,117MB / 3.69MB,0B / 368MB,62
2025-12-08T16:54:37+0100,13.93%,1.05GiB / 27.26GiB,117MB / 3.71MB,0B / 368MB,60
2025-12-08T16:54:39+0100,12.24%,1.05GiB / 27.26GiB,117MB / 3.73MB,0B / 368MB,59
2025-12-08T16:54:42+0100,17.12%,1.051GiB / 27.26GiB,117MB / 3.75MB,0B / 368MB,60
2025-12-08T16:54:44+0100,15.62%,1.051GiB / 27.26GiB,117MB / 3.77MB,0B / 395MB,59
2025-12-08T16:54:47+0100,18.23%,1.053GiB / 27.26GiB,127MB / 4.05MB,0B / 395MB,65
2025-12-08T16:54:49+0100,27.92%,1.056GiB / 27.26GiB,135MB / 4.25MB,0B / 398MB,61
2025-12-08T16:54:52+0100,5.81%,1.057GiB / 27.26GiB,135MB / 4.27MB,0B / 398MB,60
2025-12-08T16:54:55+0100,11.72%,1.057GiB / 27.26GiB,135MB / 4.3MB,0B / 398MB,68
2025-12-08T16:54:57+0100,129.80%,1.067GiB / 27.26GiB,154MB / 4.75MB,0B / 398MB,77
2025-12-08T16:55:00+0100,2.27%,97.25MiB / 27.26GiB,155MB / 4.79MB,0B / 398MB,31
2025-12-08T16:55:03+0100,42.06%,99.53MiB / 27.26GiB,161MB / 4.94MB,0B / 398MB,31
2025-12-08T16:55:06+0100,82.72%,130.9MiB / 27.26GiB,172MB / 5.24MB,0B / 457MB,44
2025-12-08T16:55:08+0100,52.34%,190MiB / 27.26GiB,186MB / 5.53MB,0B / 457MB,44
2025-12-08T16:55:11+0100,20.48%,196.3MiB / 27.26GiB,209MB / 6.05MB,0B / 464MB,48
2025-12-08T16:55:13+0100,19.54%,213.8MiB / 27.26GiB,236MB / 6.67MB,0B / 464MB,48
2025-12-08T16:55:16+0100,12.31%,210.7MiB / 27.26GiB,259MB / 7.2MB,0B / 464MB,48
2025-12-08T16:55:18+0100,17.59%,211.9MiB / 27.26GiB,288MB / 7.88MB,0B / 464MB,48
2025-12-08T16:55:21+0100,4.55%,212MiB / 27.26GiB,309MB / 8.36MB,0B / 464MB,48
2025-12-08T16:55:24+0100,251.33%,400.5MiB / 27.26GiB,314MB / 8.49MB,0B / 464MB,84
2025-12-08T16:55:27+0100,455.61%,675.5MiB / 27.26GiB,314MB / 8.49MB,0B / 613MB,115
2025-12-08T16:55:29+0100,89.77%,715.4MiB / 27.26GiB,314MB / 8.5MB,0B / 613MB,108
2025-12-08T16:55:32+0100,35.39%,719.4MiB / 27.26GiB,334MB / 8.92MB,0B / 656MB,109
2025-12-08T16:55:34+0100,548.71%,845.9MiB / 27.26GiB,334MB / 8.93MB,0B / 676MB,127
2025-12-08T16:55:37+0100,115.56%,1.258GiB / 27.26GiB,334MB / 8.93MB,0B / 676MB,131
2025-12-08T16:55:40+0100,10.07%,1.311GiB / 27.26GiB,334MB / 8.94MB,0B / 676MB,135
2025-12-08T16:55:42+0100,80.62%,1.357GiB / 27.26GiB,334MB / 8.97MB,0B / 676MB,144
2025-12-08T16:55:45+0100,193.46%,1.369GiB / 27.26GiB,335MB / 9MB,0B / 677MB,155
