timestamp,cpu_perc,mem_usage,net_io,block_io,pids
2025-12-09T13:02:21+0100,0.02%,54.42MiB / 27.26GiB,9.43kB / 7.34kB,0B / 0B,21
2025-12-09T13:02:24+0100,250.54%,189.4MiB / 27.26GiB,9.98MB / 307kB,0B / 131MB,57
2025-12-09T13:02:27+0100,16.68%,190.1MiB / 27.26GiB,10.1MB / 323kB,0B / 131MB,57
2025-12-09T13:02:29+0100,19.41%,204MiB / 27.26GiB,10.2MB / 345kB,0B / 229MB,57
2025-12-09T13:02:32+0100,42.41%,232MiB / 27.26GiB,11.7MB / 424kB,0B / 229MB,63
2025-12-09T13:02:34+0100,45.58%,255.6MiB / 27.26GiB,20.1MB / 720kB,0B / 229MB,57
2025-12-09T13:02:37+0100,43.69%,265MiB / 27.26GiB,20.4MB / 759kB,0B / 229MB,57
2025-12-09T13:02:40+0100,25.50%,269.5MiB / 27.26GiB,23.9MB / 871kB,0B / 229MB,62
2025-12-09T13:02:42+0100,19.73%,271.5MiB / 27.26GiB,52.2MB / 1.61MB,0B / 229MB,59
2025-12-09T13:02:45+0100,17.07%,272.6MiB / 27.26GiB,64.6MB / 1.91MB,0B / 229MB,57
2025-12-09T13:02:47+0100,7.69%,273.8MiB / 27.26GiB,64.7MB / 1.93MB,0B / 229MB,56
2025-12-09T13:02:50+0100,6.48%,274.2MiB / 27.26GiB,64.8MB / 1.95MB,0B / 229MB,54
2025-12-09T13:02:53+0100,5.46%,275.6MiB / 27.26GiB,64.9MB / 1.97MB,0B / 229MB,55
2025-12-09T13:02:56+0100,5.74%,276.1MiB / 27.26GiB,64.9MB / 1.99MB,0B / 290MB,55
2025-12-09T13:02:58+0100,8.29%,276.4MiB / 27.26GiB,65MB / 2.01MB,0B / 290MB,55
2025-12-09T13:03:01+0100,21.55%,277.1MiB / 27.26GiB,65.1MB / 2.03MB,0B / 290MB,54
2025-12-09T13:03:03+0100,16.35%,277.3MiB / 27.26GiB,65.2MB / 2.05MB,0B / 290MB,54
2025-12-09T13:03:06+0100,3.44%,278MiB / 27.26GiB,65.2MB / 2.07MB,0B / 290MB,54
2025-12-09T13:03:09+0100,17.90%,279.7MiB / 27.26GiB,65.3MB / 2.09MB,0B / 290MB,62
2025-12-09T13:03:11+0100,171.55%,158.9MiB / 27.26GiB,72.4MB / 2.31MB,0B / 290MB,50
2025-12-09T13:03:14+0100,64.69%,211.8MiB / 27.26GiB,72.6MB / 2.32MB,0B / 290MB,58
2025-12-09T13:03:16+0100,21.97%,228.1MiB / 27.26GiB,72.9MB / 2.35MB,0B / 300MB,57
2025-12-09T13:03:19+0100,7.10%,240MiB / 27.26GiB,73.3MB / 2.39MB,0B / 300MB,56
2025-12-09T13:03:21+0100,33.98%,275MiB / 27.26GiB,74.1MB / 2.43MB,0B / 300MB,58
2025-12-09T13:03:24+0100,11.92%,310.8MiB / 27.26GiB,76.2MB / 2.49MB,0B / 300MB,57
