timestamp,cpu_perc,mem_usage,net_io,block_io,pids
2025-12-09T10:49:41+0100,0.03%,54.41MiB / 27.26GiB,10.2kB / 7.22kB,0B / 0B,23
2025-12-09T10:49:44+0100,208.37%,184.3MiB / 27.26GiB,9.98MB / 293kB,0B / 66.3MB,61
2025-12-09T10:49:47+0100,22.41%,191.3MiB / 27.26GiB,10MB / 306kB,0B / 66.3MB,59
2025-12-09T10:49:50+0100,19.79%,204.8MiB / 27.26GiB,10.2MB / 325kB,0B / 174MB,59
2025-12-09T10:49:52+0100,29.53%,231.1MiB / 27.26GiB,10.9MB / 364kB,0B / 174MB,64
2025-12-09T10:49:55+0100,42.10%,256.9MiB / 27.26GiB,20MB / 560kB,0B / 174MB,60
2025-12-09T10:49:57+0100,50.06%,266.4MiB / 27.26GiB,20.3MB / 607kB,0B / 174MB,59
2025-12-09T10:50:00+0100,23.63%,270.7MiB / 27.26GiB,29.4MB / 900kB,0B / 174MB,61
2025-12-09T10:50:03+0100,17.82%,272.3MiB / 27.26GiB,58.2MB / 1.76MB,0B / 174MB,61
2025-12-09T10:50:05+0100,9.95%,273.4MiB / 27.26GiB,64.6MB / 1.91MB,0B / 174MB,59
2025-12-09T10:50:08+0100,7.47%,273.7MiB / 27.26GiB,64.7MB / 1.93MB,0B / 174MB,57
2025-12-09T10:50:10+0100,17.57%,274.9MiB / 27.26GiB,64.8MB / 1.96MB,0B / 174MB,57
2025-12-09T10:50:13+0100,5.18%,276.7MiB / 27.26GiB,64.8MB / 1.98MB,0B / 174MB,57
2025-12-09T10:50:16+0100,7.32%,276.8MiB / 27.26GiB,64.9MB / 2MB,0B / 287MB,57
2025-12-09T10:50:19+0100,8.24%,278MiB / 27.26GiB,65MB / 2.02MB,0B / 287MB,56
2025-12-09T10:50:21+0100,7.86%,277.9MiB / 27.26GiB,65.1MB / 2.04MB,0B / 290MB,57
2025-12-09T10:50:24+0100,12.01%,278.3MiB / 27.26GiB,65.1MB / 2.06MB,0B / 290MB,56
2025-12-09T10:50:26+0100,7.99%,279MiB / 27.26GiB,65.2MB / 2.08MB,0B / 290MB,56
2025-12-09T10:50:29+0100,31.34%,281.4MiB / 27.26GiB,69.1MB / 2.23MB,0B / 290MB,63
2025-12-09T10:50:32+0100,264.19%,189.4MiB / 27.26GiB,72.4MB / 2.31MB,0B / 290MB,61
2025-12-09T10:50:34+0100,17.37%,213.4MiB / 27.26GiB,72.7MB / 2.34MB,0B / 290MB,59
2025-12-09T10:50:37+0100,13.50%,231.2MiB / 27.26GiB,73.2MB / 2.38MB,0B / 290MB,59
2025-12-09T10:50:39+0100,17.48%,257MiB / 27.26GiB,73.8MB / 2.41MB,0B / 290MB,59
2025-12-09T10:50:42+0100,19.65%,291.8MiB / 27.26GiB,76.2MB / 2.47MB,0B / 302MB,59
2025-12-09T10:50:45+0100,90.33%,300.1MiB / 27.26GiB,78.5MB / 2.58MB,0B / 302MB,58
2025-12-09T10:50:47+0100,5.87%,317.8MiB / 27.26GiB,78.8MB / 2.61MB,0B / 302MB,58
2025-12-09T10:50:50+0100,309.46%,373.2MiB / 27.26GiB,96.1MB / 3.1MB,0B / 302MB,66
2025-12-09T10:50:52+0100,15.26%,426.8MiB / 27.26GiB,96.9MB / 3.14MB,0B / 302MB,59
2025-12-09T10:50:55+0100,22.80%,480.6MiB / 27.26GiB,98.4MB / 3.19MB,0B / 302MB,56
2025-12-09T10:50:57+0100,763.42%,665.6MiB / 27.26GiB,99.6MB / 3.24MB,0B / 302MB,66
2025-12-09T10:51:00+0100,631.09%,736.7MiB / 27.26GiB,99.6MB / 3.24MB,0B / 302MB,66
2025-12-09T10:51:03+0100,174.94%,740.1MiB / 27.26GiB,100MB / 3.27MB,0B / 327MB,61
2025-12-09T10:51:05+0100,28.30%,815.5MiB / 27.26GiB,101MB / 3.31MB,0B / 327MB,75
2025-12-09T10:51:08+0100,587.17%,967.7MiB / 27.26GiB,101MB / 3.31MB,0B / 331MB,81
2025-12-09T10:51:10+0100,74.11%,1.021GiB / 27.26GiB,102MB / 3.34MB,0B / 331MB,77
2025-12-09T10:51:13+0100,6.49%,1.022GiB / 27.26GiB,103MB / 3.39MB,0B / 331MB,77
2025-12-09T10:51:16+0100,13.84%,1.022GiB / 27.26GiB,106MB / 3.49MB,0B / 331MB,72
2025-12-09T10:51:19+0100,420.99%,1.061GiB / 27.26GiB,116MB / 3.72MB,0B / 331MB,76
2025-12-09T10:51:21+0100,13.73%,1.064GiB / 27.26GiB,117MB / 3.75MB,0B / 331MB,72
2025-12-09T10:51:24+0100,4.58%,1.065GiB / 27.26GiB,117MB / 3.77MB,0B / 391MB,71
2025-12-09T10:51:26+0100,3.63%,1.065GiB / 27.26GiB,117MB / 3.8MB,0B / 391MB,71
2025-12-09T10:51:29+0100,3.95%,1.065GiB / 27.26GiB,117MB / 3.82MB,0B / 397MB,71
2025-12-09T10:51:32+0100,26.49%,1.067GiB / 27.26GiB,125MB / 4.05MB,0B / 397MB,76
2025-12-09T10:51:34+0100,15.10%,1.071GiB / 27.26GiB,135MB / 4.29MB,0B / 397MB,71
2025-12-09T10:51:37+0100,6.87%,1.071GiB / 27.26GiB,135MB / 4.3MB,0B / 397MB,71
2025-12-09T10:51:39+0100,10.26%,1.072GiB / 27.26GiB,135MB / 4.33MB,0B / 397MB,76
2025-12-09T10:51:42+0100,146.44%,1.129GiB / 27.26GiB,154MB / 4.78MB,0B / 397MB,76
2025-12-09T10:51:45+0100,43.21%,102.6MiB / 27.26GiB,165MB / 5.13MB,0B / 397MB,29
2025-12-09T10:51:47+0100,47.62%,109.3MiB / 27.26GiB,194MB / 5.77MB,0B / 445MB,29
2025-12-09T10:51:50+0100,39.15%,111.6MiB / 27.26GiB,216MB / 6.26MB,0B / 445MB,29
2025-12-09T10:51:52+0100,48.84%,115.6MiB / 27.26GiB,245MB / 6.89MB,0B / 445MB,29
2025-12-09T10:51:55+0100,43.63%,120.8MiB / 27.26GiB,273MB / 7.52MB,0B / 456MB,29
2025-12-09T10:51:57+0100,37.21%,128.1MiB / 27.26GiB,301MB / 8.15MB,0B / 456MB,29
2025-12-09T10:52:00+0100,43.03%,133.8MiB / 27.26GiB,329MB / 8.75MB,0B / 456MB,29
2025-12-09T10:52:03+0100,37.58%,138.9MiB / 27.26GiB,352MB / 9.27MB,0B / 456MB,29
2025-12-09T10:52:05+0100,50.59%,144.9MiB / 27.26GiB,380MB / 9.88MB,0B / 456MB,29
2025-12-09T10:52:08+0100,33.10%,156.6MiB / 27.26GiB,401MB / 10.3MB,0B / 456MB,29
2025-12-09T10:52:10+0100,45.71%,164.9MiB / 27.26GiB,430MB / 11MB,0B / 456MB,29
2025-12-09T10:52:13+0100,291.99%,178.8MiB / 27.26GiB,445MB / 11.3MB,0B / 464MB,35
