timestamp,cpu_perc,mem_usage,net_io,block_io,pids
2025-12-04T21:43:40+0100,267.97%,186.4MiB / 27.26GiB,9.98MB / 289kB,0B / 0B,58
2025-12-04T21:43:43+0100,21.87%,201.8MiB / 27.26GiB,10MB / 302kB,0B / 130MB,56
2025-12-04T21:43:45+0100,23.84%,211.8MiB / 27.26GiB,10.1MB / 322kB,0B / 130MB,56
2025-12-04T21:43:48+0100,19.25%,227.5MiB / 27.26GiB,10.2MB / 345kB,0B / 227MB,63
2025-12-04T21:43:50+0100,82.54%,259.1MiB / 27.26GiB,19.9MB / 722kB,0B / 227MB,56
2025-12-04T21:43:53+0100,24.62%,275.5MiB / 27.26GiB,20.2MB / 761kB,0B / 227MB,56
2025-12-04T21:43:55+0100,15.52%,271.1MiB / 27.26GiB,20.7MB / 803kB,0B / 227MB,57
2025-12-04T21:43:58+0100,37.73%,296.1MiB / 27.26GiB,47.4MB / 1.59MB,0B / 227MB,58
2025-12-04T21:44:01+0100,14.76%,286.4MiB / 27.26GiB,64.6MB / 2.06MB,0B / 227MB,53
2025-12-04T21:44:03+0100,4.10%,287.3MiB / 27.26GiB,64.6MB / 2.08MB,0B / 227MB,56
2025-12-04T21:44:06+0100,8.89%,288.1MiB / 27.26GiB,64.7MB / 2.09MB,0B / 227MB,54
2025-12-04T21:44:08+0100,14.05%,292.8MiB / 27.26GiB,64.8MB / 2.12MB,0B / 227MB,58
2025-12-04T21:44:12+0100,6.50%,294.2MiB / 27.26GiB,64.9MB / 2.14MB,0B / 227MB,58
2025-12-04T21:44:14+0100,7.20%,294.5MiB / 27.26GiB,64.9MB / 2.16MB,0B / 288MB,58
2025-12-04T21:44:17+0100,6.66%,294.8MiB / 27.26GiB,65MB / 2.17MB,0B / 288MB,55
2025-12-04T21:44:19+0100,17.52%,299.3MiB / 27.26GiB,65.1MB / 2.19MB,0B / 288MB,58
2025-12-04T21:44:22+0100,6.97%,301MiB / 27.26GiB,65.1MB / 2.2MB,0B / 288MB,58
2025-12-04T21:44:24+0100,5.92%,300.8MiB / 27.26GiB,65.2MB / 2.22MB,0B / 288MB,55
2025-12-04T21:44:27+0100,5.44%,301.2MiB / 27.26GiB,65.2MB / 2.24MB,0B / 288MB,55
2025-12-04T21:44:30+0100,18.22%,302.9MiB / 27.26GiB,67.5MB / 2.34MB,0B / 288MB,60
2025-12-04T21:44:33+0100,303.94%,203.8MiB / 27.26GiB,72.4MB / 2.47MB,0B / 288MB,60
2025-12-04T21:44:35+0100,16.92%,222.3MiB / 27.26GiB,72.7MB / 2.5MB,0B / 288MB,58
2025-12-04T21:44:38+0100,12.31%,240.1MiB / 27.26GiB,73.2MB / 2.53MB,0B / 288MB,58
2025-12-04T21:44:40+0100,16.67%,266.3MiB / 27.26GiB,73.8MB / 2.57MB,0B / 299MB,58
2025-12-04T21:44:43+0100,10.37%,297.2MiB / 27.26GiB,76MB / 2.62MB,0B / 299MB,59
2025-12-04T21:44:46+0100,31.50%,300.3MiB / 27.26GiB,78.5MB / 2.73MB,0B / 299MB,58
2025-12-04T21:44:48+0100,58.34%,307.5MiB / 27.26GiB,78.8MB / 2.76MB,0B / 299MB,58
2025-12-04T21:44:51+0100,24.50%,309.8MiB / 27.26GiB,84.7MB / 2.97MB,0B / 299MB,63
2025-12-04T21:44:54+0100,16.64%,381.2MiB / 27.26GiB,96.8MB / 3.25MB,0B / 314MB,58
2025-12-04T21:44:57+0100,6.62%,429.5MiB / 27.26GiB,98.4MB / 3.32MB,0B / 314MB,57
2025-12-04T21:44:59+0100,45.74%,455.1MiB / 27.26GiB,99.6MB / 3.38MB,0B / 318MB,57
2025-12-04T21:45:02+0100,849.35%,618.3MiB / 27.26GiB,99.6MB / 3.38MB,0B / 318MB,65
2025-12-04T21:45:04+0100,191.09%,678.8MiB / 27.26GiB,99.6MB / 3.39MB,0B / 318MB,58
