timestamp,cpu_perc,mem_usage,net_io,block_io,pids
2025-12-04T18:18:55+0100,228.00%,181.1MiB / 27.26GiB,9.98MB / 292kB,0B / 0B,60
2025-12-04T18:18:58+0100,20.77%,200.5MiB / 27.26GiB,10MB / 303kB,0B / 130MB,58
2025-12-04T18:19:01+0100,21.99%,207.9MiB / 27.26GiB,10.1MB / 320kB,0B / 130MB,57
2025-12-04T18:19:03+0100,12.45%,218.8MiB / 27.26GiB,10.2MB / 337kB,0B / 227MB,57
2025-12-04T18:19:06+0100,29.99%,236.9MiB / 27.26GiB,17MB / 586kB,0B / 227MB,62
2025-12-04T18:19:08+0100,32.28%,273.7MiB / 27.26GiB,20.1MB / 695kB,0B / 227MB,57
2025-12-04T18:19:11+0100,31.89%,268.9MiB / 27.26GiB,20.3MB / 726kB,0B / 227MB,58
2025-12-04T18:19:14+0100,23.93%,277.7MiB / 27.26GiB,21.6MB / 783kB,0B / 227MB,63
2025-12-04T18:19:16+0100,21.79%,278.4MiB / 27.26GiB,37.1MB / 1.31MB,0B / 227MB,60
2025-12-04T18:19:19+0100,11.09%,279MiB / 27.26GiB,48.3MB / 1.68MB,0B / 227MB,60
2025-12-04T18:19:21+0100,8.42%,273.3MiB / 27.26GiB,63.6MB / 2.17MB,0B / 227MB,60
2025-12-04T18:19:24+0100,12.45%,276.1MiB / 27.26GiB,64.6MB / 2.22MB,0B / 227MB,60
2025-12-04T18:19:27+0100,7.01%,275.7MiB / 27.26GiB,64.7MB / 2.24MB,0B / 227MB,60
2025-12-04T18:19:30+0100,3.73%,276MiB / 27.26GiB,64.7MB / 2.25MB,0B / 284MB,59
2025-12-04T18:19:32+0100,4.42%,276.2MiB / 27.26GiB,64.8MB / 2.26MB,0B / 284MB,57
2025-12-04T18:19:35+0100,9.84%,286.9MiB / 27.26GiB,64.8MB / 2.28MB,0B / 287MB,60
2025-12-04T18:19:37+0100,6.86%,279MiB / 27.26GiB,64.9MB / 2.29MB,0B / 287MB,59
2025-12-04T18:19:40+0100,9.51%,280.2MiB / 27.26GiB,65MB / 2.32MB,0B / 287MB,57
2025-12-04T18:19:43+0100,4.75%,280.6MiB / 27.26GiB,65.1MB / 2.34MB,0B / 287MB,57
2025-12-04T18:19:45+0100,16.46%,287.5MiB / 27.26GiB,65.1MB / 2.36MB,0B / 287MB,57
2025-12-04T18:19:48+0100,5.64%,287.6MiB / 27.26GiB,65.2MB / 2.37MB,0B / 287MB,57
2025-12-04T18:19:50+0100,14.91%,288.8MiB / 27.26GiB,65.3MB / 2.39MB,0B / 287MB,57
2025-12-04T18:19:53+0100,16.10%,290.3MiB / 27.26GiB,67.1MB / 2.49MB,0B / 287MB,62
2025-12-04T18:19:55+0100,362.33%,221.4MiB / 27.26GiB,72.4MB / 2.65MB,0B / 297MB,62
2025-12-04T18:19:58+0100,20.93%,229.7MiB / 27.26GiB,72.6MB / 2.67MB,0B / 297MB,60
2025-12-04T18:20:01+0100,7.94%,237.1MiB / 27.26GiB,72.9MB / 2.69MB,0B / 297MB,57
2025-12-04T18:20:03+0100,5.22%,248MiB / 27.26GiB,73.2MB / 2.72MB,0B / 297MB,58
2025-12-04T18:20:06+0100,17.00%,267.3MiB / 27.26GiB,73.4MB / 2.73MB,0B / 297MB,58
2025-12-04T18:20:08+0100,7.86%,268.8MiB / 27.26GiB,73.7MB / 2.75MB,0B / 297MB,57
2025-12-04T18:20:11+0100,83.27%,303.6MiB / 27.26GiB,74.1MB / 2.78MB,0B / 297MB,60
2025-12-04T18:20:14+0100,5.31%,318.3MiB / 27.26GiB,76.2MB / 2.86MB,0B / 297MB,60
2025-12-04T18:20:16+0100,24.99%,302.1MiB / 27.26GiB,77.1MB / 2.91MB,0B / 302MB,67
2025-12-04T18:20:19+0100,35.95%,303.9MiB / 27.26GiB,78.5MB / 2.98MB,0B / 302MB,58
2025-12-04T18:20:22+0100,21.99%,317.5MiB / 27.26GiB,78.8MB / 3.01MB,0B / 302MB,60
2025-12-04T18:20:24+0100,12.50%,318.3MiB / 27.26GiB,92.7MB / 3.33MB,0B / 302MB,62
2025-12-04T18:20:27+0100,518.91%,416.9MiB / 27.26GiB,96.3MB / 3.42MB,0B / 302MB,60
2025-12-04T18:20:30+0100,34.98%,447.2MiB / 27.26GiB,98.4MB / 3.5MB,0B / 302MB,60
2025-12-04T18:20:32+0100,8.75%,430.5MiB / 27.26GiB,98.5MB / 3.53MB,0B / 318MB,59
2025-12-04T18:20:35+0100,863.01%,530.2MiB / 27.26GiB,99.7MB / 3.57MB,0B / 318MB,67
2025-12-04T18:20:37+0100,878.62%,694.6MiB / 27.26GiB,99.7MB / 3.57MB,0B / 322MB,67
2025-12-04T18:20:40+0100,316.19%,798.2MiB / 27.26GiB,101MB / 3.6MB,0B / 322MB,64
2025-12-04T18:20:43+0100,39.73%,800.1MiB / 27.26GiB,101MB / 3.64MB,0B / 322MB,64
2025-12-04T18:20:45+0100,731.72%,882.5MiB / 27.26GiB,101MB / 3.65MB,0B / 322MB,69
2025-12-04T18:20:48+0100,187.90%,1.011GiB / 27.26GiB,101MB / 3.65MB,0B / 322MB,62
2025-12-04T18:20:50+0100,6.50%,1016MiB / 27.26GiB,102MB / 3.69MB,0B / 322MB,60
2025-12-04T18:20:53+0100,40.80%,1017MiB / 27.26GiB,106MB / 3.83MB,0B / 366MB,59
2025-12-04T18:20:55+0100,7.91%,1018MiB / 27.26GiB,111MB / 3.98MB,0B / 369MB,67
2025-12-04T18:20:58+0100,256.95%,1.04GiB / 27.26GiB,116MB / 4.1MB,0B / 369MB,62
2025-12-04T18:21:01+0100,7.15%,1.025GiB / 27.26GiB,117MB / 4.13MB,0B / 369MB,61
2025-12-04T18:21:03+0100,6.73%,1.026GiB / 27.26GiB,117MB / 4.15MB,0B / 369MB,60
2025-12-04T18:21:06+0100,5.77%,1.026GiB / 27.26GiB,117MB / 4.17MB,0B / 369MB,59
2025-12-04T18:21:08+0100,4.40%,1.026GiB / 27.26GiB,117MB / 4.19MB,0B / 369MB,62
2025-12-04T18:21:11+0100,2.21%,1.027GiB / 27.26GiB,117MB / 4.21MB,0B / 369MB,65
2025-12-04T18:21:14+0100,4.69%,1.027GiB / 27.26GiB,121MB / 4.36MB,0B / 369MB,64
2025-12-04T18:21:17+0100,9.19%,1.028GiB / 27.26GiB,132MB / 4.7MB,0B / 406MB,64
2025-12-04T18:21:19+0100,15.93%,1.031GiB / 27.26GiB,135MB / 4.79MB,0B / 406MB,59
2025-12-04T18:21:22+0100,1.64%,1.031GiB / 27.26GiB,135MB / 4.8MB,0B / 409MB,59
2025-12-04T18:21:24+0100,5.05%,1.032GiB / 27.26GiB,135MB / 4.82MB,0B / 409MB,60
2025-12-04T18:21:27+0100,14.07%,1.031GiB / 27.26GiB,135MB / 4.84MB,0B / 409MB,67
2025-12-04T18:21:30+0100,1.22%,1.031GiB / 27.26GiB,137MB / 4.89MB,0B / 409MB,60
2025-12-04T18:21:32+0100,3.34%,1.032GiB / 27.26GiB,141MB / 5.04MB,0B / 409MB,65
2025-12-04T18:21:35+0100,4.83%,1.033GiB / 27.26GiB,149MB / 5.34MB,0B / 409MB,65
2025-12-04T18:21:37+0100,102.31%,1.052GiB / 27.26GiB,154MB / 5.46MB,0B / 409MB,75
2025-12-04T18:21:40+0100,0.74%,96.34MiB / 27.26GiB,155MB / 5.5MB,0B / 409MB,31
2025-12-04T18:21:43+0100,2.57%,96.82MiB / 27.26GiB,155MB / 5.52MB,0B / 440MB,31
2025-12-04T18:21:45+0100,2.41%,97.04MiB / 27.26GiB,156MB / 5.54MB,0B / 440MB,31
2025-12-04T18:21:48+0100,1.35%,96.6MiB / 27.26GiB,156MB / 5.56MB,0B / 446MB,31
2025-12-04T18:21:50+0100,2.34%,97.15MiB / 27.26GiB,157MB / 5.58MB,0B / 446MB,31
2025-12-04T18:21:53+0100,2.07%,97.11MiB / 27.26GiB,157MB / 5.59MB,0B / 446MB,31
2025-12-04T18:21:55+0100,26.27%,98.44MiB / 27.26GiB,162MB / 5.72MB,0B / 446MB,31
2025-12-04T18:21:58+0100,4.82%,97.87MiB / 27.26GiB,167MB / 5.85MB,0B / 446MB,31
2025-12-04T18:22:01+0100,17.80%,98.18MiB / 27.26GiB,172MB / 5.97MB,0B / 446MB,31
2025-12-04T18:22:03+0100,113.04%,186.2MiB / 27.26GiB,173MB / 6MB,0B / 462MB,49
2025-12-04T18:22:06+0100,0.10%,185.8MiB / 27.26GiB,173MB / 6MB,0B / 462MB,49
2025-12-04T18:22:08+0100,0.94%,187.8MiB / 27.26GiB,173MB / 6.01MB,0B / 462MB,46
2025-12-04T18:22:11+0100,2.23%,188MiB / 27.26GiB,174MB / 6.05MB,0B / 462MB,44
2025-12-04T18:22:14+0100,2.29%,188.2MiB / 27.26GiB,175MB / 6.07MB,0B / 462MB,44
2025-12-04T18:22:16+0100,1.82%,188.5MiB / 27.26GiB,175MB / 6.09MB,0B / 462MB,44
2025-12-04T18:22:19+0100,1.94%,188.6MiB / 27.26GiB,176MB / 6.12MB,0B / 559MB,44
2025-12-04T18:22:22+0100,10.74%,189.6MiB / 27.26GiB,181MB / 6.26MB,0B / 559MB,44
2025-12-04T18:22:24+0100,29.98%,207.3MiB / 27.26GiB,211MB / 6.94MB,0B / 559MB,48
