timestamp,cpu_perc,mem_usage,net_io,block_io,pids
2025-12-08T17:01:14+0100,212.30%,170.8MiB / 27.26GiB,9.98MB / 287kB,0B / 0B,58
2025-12-08T17:01:17+0100,28.44%,202.2MiB / 27.26GiB,10MB / 298kB,0B / 131MB,57
2025-12-08T17:01:20+0100,19.91%,215.5MiB / 27.26GiB,10.1MB / 318kB,0B / 131MB,56
2025-12-08T17:01:23+0100,20.22%,229.2MiB / 27.26GiB,10.2MB / 337kB,0B / 228MB,56
2025-12-08T17:01:25+0100,97.94%,263MiB / 27.26GiB,20MB / 703kB,0B / 228MB,56
2025-12-08T17:01:28+0100,7.68%,271.2MiB / 27.26GiB,20.2MB / 732kB,0B / 228MB,56
2025-12-08T17:01:30+0100,44.97%,282MiB / 27.26GiB,20.3MB / 759kB,0B / 228MB,56
2025-12-08T17:01:33+0100,31.74%,285MiB / 27.26GiB,20.5MB / 782kB,0B / 228MB,55
2025-12-08T17:01:36+0100,31.66%,285.3MiB / 27.26GiB,43.9MB / 1.43MB,0B / 228MB,58
2025-12-08T17:01:38+0100,18.27%,284.9MiB / 27.26GiB,64.6MB / 2.02MB,0B / 228MB,54
2025-12-08T17:01:41+0100,12.51%,286.9MiB / 27.26GiB,64.6MB / 2.04MB,0B / 228MB,56
2025-12-08T17:01:43+0100,7.77%,287.6MiB / 27.26GiB,64.7MB / 2.06MB,0B / 228MB,55
2025-12-08T17:01:46+0100,9.42%,292.7MiB / 27.26GiB,64.8MB / 2.08MB,0B / 228MB,56
2025-12-08T17:01:50+0100,7.84%,293.2MiB / 27.26GiB,64.9MB / 2.1MB,0B / 287MB,54
2025-12-08T17:01:52+0100,7.69%,288.4MiB / 27.26GiB,65MB / 2.12MB,0B / 287MB,53
2025-12-08T17:01:55+0100,2.83%,288.9MiB / 27.26GiB,65MB / 2.14MB,0B / 289MB,53
2025-12-08T17:01:57+0100,23.90%,299.8MiB / 27.26GiB,65.1MB / 2.16MB,0B / 289MB,56
2025-12-08T17:02:00+0100,4.95%,295.9MiB / 27.26GiB,65.2MB / 2.18MB,0B / 289MB,53
2025-12-08T17:02:03+0100,3.81%,296.2MiB / 27.26GiB,65.2MB / 2.2MB,0B / 289MB,53
2025-12-08T17:02:05+0100,23.00%,297.8MiB / 27.26GiB,65.3MB / 2.22MB,0B / 289MB,61
2025-12-08T17:02:08+0100,129.93%,118.3MiB / 27.26GiB,72.4MB / 2.43MB,0B / 289MB,43
2025-12-08T17:02:10+0100,55.37%,220.9MiB / 27.26GiB,72.5MB / 2.45MB,0B / 299MB,57
2025-12-08T17:02:13+0100,19.23%,234.3MiB / 27.26GiB,72.8MB / 2.47MB,0B / 299MB,56
2025-12-08T17:02:15+0100,13.23%,251.7MiB / 27.26GiB,73.3MB / 2.51MB,0B / 299MB,56
2025-12-08T17:02:18+0100,17.30%,272.4MiB / 27.26GiB,74MB / 2.54MB,0B / 299MB,56
2025-12-08T17:02:21+0100,17.90%,300MiB / 27.26GiB,76.2MB / 2.61MB,0B / 299MB,56
2025-12-08T17:02:23+0100,52.98%,298.9MiB / 27.26GiB,78.5MB / 2.72MB,0B / 299MB,56
2025-12-08T17:02:26+0100,21.33%,306.5MiB / 27.26GiB,78.8MB / 2.75MB,0B / 307MB,56
2025-12-08T17:02:28+0100,32.21%,309.9MiB / 27.26GiB,96.2MB / 3.18MB,0B / 307MB,55
2025-12-08T17:02:31+0100,39.48%,446.9MiB / 27.26GiB,96.8MB / 3.21MB,0B / 307MB,56
2025-12-08T17:02:34+0100,7.04%,470.8MiB / 27.26GiB,98.4MB / 3.26MB,0B / 307MB,56
2025-12-08T17:02:37+0100,75.48%,407.2MiB / 27.26GiB,99.7MB / 3.32MB,0B / 307MB,62
2025-12-08T17:02:39+0100,829.86%,611MiB / 27.26GiB,99.7MB / 3.32MB,0B / 323MB,63
2025-12-08T17:02:42+0100,452.69%,679.5MiB / 27.26GiB,99.7MB / 3.33MB,0B / 323MB,60
2025-12-08T17:02:44+0100,15.20%,846.2MiB / 27.26GiB,101MB / 3.37MB,0B / 327MB,56
2025-12-08T17:02:47+0100,499.89%,855.7MiB / 27.26GiB,101MB / 3.4MB,0B / 327MB,65
2025-12-08T17:02:50+0100,350.55%,1.034GiB / 27.26GiB,101MB / 3.4MB,0B / 327MB,62
2025-12-08T17:02:52+0100,5.72%,1.034GiB / 27.26GiB,102MB / 3.44MB,0B / 327MB,57
2025-12-08T17:02:55+0100,42.75%,1.018GiB / 27.26GiB,106MB / 3.56MB,0B / 327MB,56
2025-12-08T17:02:57+0100,13.04%,1.019GiB / 27.26GiB,114MB / 3.75MB,0B / 327MB,63
2025-12-08T17:03:00+0100,69.52%,1.063GiB / 27.26GiB,117MB / 3.83MB,0B / 389MB,58
2025-12-08T17:03:03+0100,15.02%,1.063GiB / 27.26GiB,117MB / 3.85MB,0B / 389MB,56
2025-12-08T17:03:05+0100,7.49%,1.063GiB / 27.26GiB,117MB / 3.87MB,0B / 396MB,55
2025-12-08T17:03:08+0100,9.33%,1.064GiB / 27.26GiB,117MB / 3.88MB,0B / 396MB,58
2025-12-08T17:03:10+0100,2.31%,1.064GiB / 27.26GiB,117MB / 3.9MB,0B / 396MB,55
2025-12-08T17:03:13+0100,19.16%,1.066GiB / 27.26GiB,123MB / 4.06MB,0B / 396MB,62
2025-12-08T17:03:15+0100,28.63%,1.084GiB / 27.26GiB,135MB / 4.37MB,0B / 396MB,58
2025-12-08T17:03:18+0100,11.49%,1.077GiB / 27.26GiB,135MB / 4.39MB,0B / 396MB,57
2025-12-08T17:03:21+0100,10.79%,1.077GiB / 27.26GiB,135MB / 4.41MB,0B / 415MB,60
2025-12-08T17:03:23+0100,19.89%,1.078GiB / 27.26GiB,154MB / 4.87MB,0B / 415MB,62
2025-12-08T17:03:26+0100,4.42%,96.79MiB / 27.26GiB,155MB / 4.91MB,0B / 417MB,28
2025-12-08T17:03:28+0100,21.03%,98.05MiB / 27.26GiB,158MB / 5.02MB,0B / 417MB,28
2025-12-08T17:03:31+0100,76.30%,111.5MiB / 27.26GiB,172MB / 5.37MB,0B / 434MB,24
2025-12-08T17:03:34+0100,27.85%,194.9MiB / 27.26GiB,184MB / 5.62MB,0B / 434MB,41
2025-12-08T17:03:37+0100,21.12%,200.8MiB / 27.26GiB,209MB / 6.18MB,0B / 434MB,45
2025-12-08T17:03:39+0100,18.30%,202.1MiB / 27.26GiB,235MB / 6.75MB,0B / 434MB,45
2025-12-08T17:03:42+0100,12.74%,202.9MiB / 27.26GiB,260MB / 7.3MB,0B / 434MB,45
2025-12-08T17:03:44+0100,16.06%,204.2MiB / 27.26GiB,292MB / 8MB,0B / 434MB,45
2025-12-08T17:03:47+0100,44.49%,206.9MiB / 27.26GiB,314MB / 8.5MB,0B / 434MB,47
2025-12-08T17:03:50+0100,294.39%,544MiB / 27.26GiB,314MB / 8.5MB,0B / 434MB,98
2025-12-08T17:03:52+0100,317.10%,694.6MiB / 27.26GiB,314MB / 8.5MB,0B / 545MB,110
2025-12-08T17:03:55+0100,1.07%,673.5MiB / 27.26GiB,314MB / 8.5MB,0B / 545MB,102
2025-12-08T17:03:57+0100,57.53%,700.3MiB / 27.26GiB,314MB / 8.5MB,0B / 649MB,104
2025-12-08T17:04:00+0100,32.06%,710MiB / 27.26GiB,330MB / 8.9MB,0B / 649MB,107
2025-12-08T17:04:03+0100,613.85%,823.1MiB / 27.26GiB,334MB / 8.99MB,0B / 667MB,117
2025-12-08T17:04:05+0100,150.91%,1.033GiB / 27.26GiB,334MB / 8.99MB,0B / 669MB,127
2025-12-08T17:04:08+0100,244.36%,1.32GiB / 27.26GiB,334MB / 8.99MB,0B / 669MB,137
2025-12-08T17:04:10+0100,44.04%,1.316GiB / 27.26GiB,334MB / 9.03MB,0B / 669MB,141
2025-12-08T17:04:13+0100,16.70%,1.318GiB / 27.26GiB,334MB / 9.04MB,0B / 669MB,141
2025-12-08T17:04:15+0100,42.13%,1.359GiB / 27.26GiB,335MB / 9.08MB,0B / 671MB,163
2025-12-08T17:04:18+0100,58.71%,1.438GiB / 27.26GiB,335MB / 9.17MB,0B / 673MB,203
2025-12-08T17:04:21+0100,93.64%,1.452GiB / 27.26GiB,356MB / 9.92MB,0B / 686MB,221
2025-12-08T17:04:23+0100,47.88%,1.433GiB / 27.26GiB,382MB / 10.8MB,0B / 719MB,219
2025-12-08T17:04:26+0100,6.71%,1.433GiB / 27.26GiB,397MB / 11.2MB,0B / 743MB,217
2025-12-08T17:04:28+0100,1224.26%,1.673GiB / 27.26GiB,397MB / 11.2MB,0B / 804MB,257
2025-12-08T17:04:32+0100,163.49%,1.887GiB / 27.26GiB,397MB / 11.2MB,0B / 804MB,255
